codigo_sgif,observ,codigo_rc,distrito,concelho,freguesia,area_arborizada,area_nao_arborizada,dia_semana,reacendimento,causa,data_inicio,hora_inicio,primeira_intervencao,data_fim,hora_fim
AG0441,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,0.03,0,7,,DES,1994-11-26 14:25:00,1994-11-26 14:25:00,,1994-11-26 15:30:00,1994-11-26 15:30:00
AG0036,,RC15000010,FARO,LOULE,QUARTEIRA,0.04,0,7,,DES,1994-04-16 18:05:00,1994-04-16 18:05:00,,1994-04-16 18:54:00,1994-04-16 18:54:00
AG0249,,RC15000010,FARO,LOULE,ALMANSIL,0.04,0,5,,DES,1994-07-21 17:28:00,1994-07-21 17:28:00,,1994-07-21 18:21:00,1994-07-21 18:21:00
AG0308,,RC15000004,FARO,MONCHIQUE,MARMELETE,0.04,0,7,,DES,1994-08-20 02:40:00,1994-08-20 02:40:00,,1994-08-20 04:00:00,1994-08-20 04:00:00
AG0051,,RC15000005,FARO,PORTIMÃO,PORTIMÃO,0.05,0,6,,DES,1994-04-29 12:18:00,1994-04-29 12:18:00,,1994-04-29 14:45:00,1994-04-29 14:45:00
AG0090,,RC15000001,FARO,ALJEZUR,ALJEZUR,0.05,0,1,,DES,1994-05-29 20:04:00,1994-05-29 20:04:00,,1994-05-29 21:10:00,1994-05-29 21:10:00
AG0210,,RC15000010,FARO,LOULE,AMEIXIAL,0.05,0,1,,DES,1994-07-10 06:12:00,1994-07-10 06:12:00,,1994-07-10 08:45:00,1994-07-10 08:45:00
AG0223,,RC15000010,FARO,LOULE,S.SEBASTIÃO,0.05,0,5,,DES,1994-07-14 01:12:00,1994-07-14 01:12:00,,1994-07-14 04:16:00,1994-07-14 04:16:00
AG0250,,RC15000012,FARO,S.B.ALPORTEL,S.B.ALPORTEL,0.05,0,5,,DES,1994-07-21 17:36:00,1994-07-21 17:36:00,,1994-07-21 19:23:00,1994-07-21 19:23:00
AG0287,,RC15000010,FARO,LOULE,ALMANSIL,0.05,0,6,,DES,1994-08-12 13:30:00,1994-08-12 13:30:00,,1994-08-12 15:20:00,1994-08-12 15:20:00
AG0305,,RC15000004,FARO,MONCHIQUE,MARMELETE,0.05,0,1,,DES,1994-08-21 13:44:00,1994-08-21 13:44:00,,1994-08-21 16:30:00,1994-08-21 16:30:00
AG0336,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,0.06,0,6,,DES,1994-09-02 15:05:00,1994-09-02 15:05:00,,1994-09-02 16:00:00,1994-09-02 16:00:00
AG0234,,RC15000010,FARO,LOULE,S.CLEMENTE,0.07,0,2,,DES,1994-07-18 16:04:00,1994-07-18 16:04:00,,1994-07-18 17:09:00,1994-07-18 17:09:00
AG0256,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,0.09,0.16,1,,NEG,1994-07-24 20:54:00,1994-07-24 20:54:00,,1994-07-25,1994-07-25 00:00:00
AG0229,,RC15000010,FARO,LOULE,ALTE,0.1,0.1,7,,DES,1994-07-16 19:52:00,1994-07-16 19:52:00,,1994-07-16 22:20:00,1994-07-16 22:20:00
AG0433,,RC15000006,FARO,SILVES,SILVES,0.1,0,4,,DES,1994-11-02 12:52:00,1994-11-02 12:52:00,,1994-11-02 13:50:00,1994-11-02 13:50:00
AG0174,,RC15000010,FARO,LOULE,ALTE,0.15,0,6,,DES,1994-07-01 15:43:00,1994-07-01 15:43:00,,1994-07-01 18:40:00,1994-07-01 18:40:00
AG0335,,RC15000010,FARO,LOULE,QUARTEIRA,0.15,0,6,,DES,1994-09-02 07:33:00,1994-09-02 07:33:00,,1994-09-02 10:00:00,1994-09-02 10:00:00
AG0235,,RC15000004,FARO,MONCHIQUE,ALFERCE,0.2,2.3,2,,DES,1994-07-18 17:43:00,1994-07-18 17:43:00,,1994-07-18 22:00:00,1994-07-18 22:00:00
AG0212,,RC15000005,FARO,PORTIMÃO,M.GRANDE,0.2,0,1,,DES,1994-07-10 14:50:00,1994-07-10 14:50:00,,1994-07-10 20:14:00,1994-07-10 20:14:00
AG0319,,RC15000010,FARO,LOULE,BOLIQUEIME,0.2,0,5,,DES,1994-08-25 12:37:00,1994-08-25 12:37:00,,1994-08-25 14:02:00,1994-08-25 14:02:00
AG0233,,RC15000010,FARO,LOULE,QUARTEIRA,0.25,0,2,,DES,1994-07-18 15:20:00,1994-07-18 15:20:00,,1994-07-18 16:35:00,1994-07-18 16:35:00
AG0004,,RC15000001,FARO,ALJEZUR,ROGIL,0.3,0,2,,DES,1994-01-24 17:42:00,1994-01-24 17:42:00,,1994-01-24 19:00:00,1994-01-24 19:00:00
AG0108,,RC15000006,FARO,SILVES,S.B.MESSINES,0.3,0,5,,DES,1994-06-09 16:26:00,1994-06-09 16:26:00,,1994-06-09 21:20:00,1994-06-09 21:20:00
AG0355,,RC15000001,FARO,ALJEZUR,ALJEZUR,0.5,0.5,1,,DES,1994-09-11 23:51:00,1994-09-11 23:51:00,,1994-09-12 03:45:00,1994-09-12 03:45:00
AG0384,,RC15000005,FARO,PORTIMÃO,PORTIMÃO,0.5,1,7,,DES,1994-09-24 20:55:00,1994-09-24 20:55:00,,1994-09-24 23:30:00,1994-09-24 23:30:00
AG0046,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,0.5,0,5,,DES,1994-04-28 14:00:00,1994-04-28 14:00:00,,1994-04-28 15:23:00,1994-04-28 15:23:00
AG0069,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,0.5,0,4,,DES,1994-05-04 17:00:00,1994-05-04 17:00:00,,1994-05-04 19:12:00,1994-05-04 19:12:00
AG0232,,RC15000006,FARO,SILVES,ALGOZ,0.5,0,2,,DES,1994-07-18 14:35:00,1994-07-18 14:35:00,,1994-07-18 17:15:00,1994-07-18 17:15:00
AG0293,,RC15000009,FARO,FARO,STª.B.NEXE,0.5,0,7,,DES,1994-08-13 04:14:00,1994-08-13 04:14:00,,1994-08-13 05:13:00,1994-08-13 05:13:00
AG0304,,RC15000004,FARO,MONCHIQUE,MARMELETE,0.5,0,1,,DES,1994-08-21 05:00:00,1994-08-21 05:00:00,,1994-08-21 07:00:00,1994-08-21 07:00:00
AG0427,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,0.5,0,6,,DES,1994-10-28 17:18:00,1994-10-28 17:18:00,,1994-10-28 19:30:00,1994-10-28 19:30:00
AG0443,,RC15000001,FARO,ALJEZUR,ROGIL,0.5,0,4,,DES,1994-11-30 17:02:00,1994-11-30 17:02:00,,1994-11-30 18:15:00,1994-11-30 18:15:00
AG0134,,RC15000010,FARO,LOULE,QUARTEIRA,0.98,0.37,4,,NEG,1994-06-22 16:00:00,1994-06-22 16:00:00,,1994-06-22 18:55:00,1994-06-22 18:55:00
AG0006,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,1,0,4,,DES,1994-01-26 16:20:00,1994-01-26 16:20:00,,1994-01-26 17:45:00,1994-01-26 17:45:00
AG0011,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,1,0,1,,DES,1994-02-13 13:46:00,1994-02-13 13:46:00,,1994-02-13 15:13:00,1994-02-13 15:13:00
AG0065,,RC15000004,FARO,MONCHIQUE,MARMELETE,1,0,2,,DES,1994-05-02 00:30:00,1994-05-02 00:30:00,,1994-05-02 03:20:00,1994-05-02 03:20:00
AG0198,,RC15000013,FARO,ALCOUTIM,ALCOUTIM,1,0,5,,DES,1994-07-07 16:13:00,1994-07-07 16:13:00,,1994-07-07 19:50:00,1994-07-07 19:50:00
AG0201,,RC15000011,FARO,OLHÃO,QUELFES,1,0,7,,DES,1994-07-09 06:00:00,1994-07-09 06:00:00,,1994-07-09 08:35:00,1994-07-09 08:35:00
AG0202,,RC15000004,FARO,MONCHIQUE,MARMELETE,1,0,7,,DES,1994-07-09 01:22:00,1994-07-09 01:22:00,,1994-07-09 05:20:00,1994-07-09 05:20:00
AG0269,,RC15000010,FARO,LOULE,ALMANSIL,1,0,2,,DES,1994-08-01 13:45:00,1994-08-01 13:45:00,,1994-08-01 15:55:00,1994-08-01 15:55:00
AG0280,,RC15000006,FARO,SILVES,S.B.MESSINES,1,0,2,,DES,1994-08-08 03:26:00,1994-08-08 03:26:00,,1994-08-08 09:00:00,1994-08-08 09:00:00
AG0301,,RC15000010,FARO,LOULE,ALMANSIL,1,0,6,,DES,1994-08-19 13:31:00,1994-08-19 13:31:00,,1994-08-19 16:00:00,1994-08-19 16:00:00
AG0358,,RC15000003,FARO,LAGOS,ODEAXERE,1,0,3,,DES,1994-09-13 13:58:00,1994-09-13 13:58:00,,1994-09-13 18:55:00,1994-09-13 18:55:00
AG0440,,RC15000006,FARO,SILVES,SILVES,1,0,6,,DES,1994-11-25 15:11:00,1994-11-25 15:11:00,,1994-11-25 17:15:00,1994-11-25 17:15:00
AG0116,,RC15000010,FARO,LOULE,AMEIXIAL,1.25,0,7,,DES,1994-06-11 17:54:00,1994-06-11 17:54:00,,1994-06-11 22:15:00,1994-06-11 22:15:00
AG0360,,RC15000010,FARO,LOULE,AMEIXIAL,1.5,0.5,3,,DES,1994-09-13 17:15:00,1994-09-13 17:15:00,,1994-09-13 21:10:00,1994-09-13 21:10:00
AG0353,,RC15000015,FARO,TAVIRA,STª.MARIA,1.5,1,1,,DES,1994-09-11 16:32:00,1994-09-11 16:32:00,,1994-09-11 21:40:00,1994-09-11 21:40:00
AG0311,,RC15000015,FARO,TAVIRA,CACHOPO,1.5,61.5,3,,DES,1994-08-23 15:50:00,1994-08-23 15:50:00,,1994-08-24 08:40:00,1994-08-24 08:40:00
AG0014,,RC15000004,FARO,MONCHIQUE,ALFERCE,1.5,0,4,,DES,1994-03-16 11:30:00,1994-03-16 11:30:00,,1994-03-16 14:15:00,1994-03-16 14:15:00
AG0242,,RC15000004,FARO,MONCHIQUE,MARMELETE,1.5,0,3,,DES,1994-07-19 16:01:00,1994-07-19 16:01:00,,1994-07-19 19:33:00,1994-07-19 19:33:00
AG0356,,RC15000009,FARO,FARO,S.PEDRO,1.5,0,2,,DES,1994-09-12 19:05:00,1994-09-12 19:05:00,,1994-09-12 21:00:00,1994-09-12 21:00:00
AG0281,,RC15000002,FARO,LAGOA,LAGOA,2,0.5,2,,DES,1994-08-08 22:04:00,1994-08-08 22:04:00,,1994-08-09 00:33:00,1994-08-09 00:33:00
AG0124,,RC15000004,FARO,MONCHIQUE,MARMELETE,2,0,3,,DES,1994-07-01 15:20:00,1994-07-01 15:20:00,,1994-07-01 19:56:00,1994-07-01 19:56:00
AG0176,,RC15000006,FARO,SILVES,SILVES,2,0,6,,DES,1994-07-01 17:19:00,1994-07-01 17:19:00,,1994-07-01 18:20:00,1994-07-01 18:20:00
AG0199,,RC15000011,FARO,OLHÃO,MONCARAPACHO,2,0,5,,INT,1994-07-07 16:06:00,1994-07-07 16:06:00,,1994-07-07 23:30:00,1994-07-07 23:30:00
AG0246,,RC15000010,FARO,LOULE,S.CLEMENTE,2,0,4,,DES,1994-07-20 18:33:00,1994-07-20 18:33:00,,1994-07-20 22:00:00,1994-07-20 22:00:00
AG0277,,RC15000009,FARO,FARO,S.PEDRO,2,0,1,,INT,1994-08-07 19:07:00,1994-08-07 19:07:00,,1994-08-07 21:00:00,1994-08-07 21:00:00
AG0313,,RC15000009,FARO,FARO,STª.B.NEXE,2,0,4,,DES,1994-08-24 23:31:00,1994-08-24 23:31:00,,1994-08-25 02:11:00,1994-08-25 02:11:00
AG0337,,RC15000006,FARO,SILVES,S.B.MESSINES,2,0,1,,DES,1994-09-03 03:46:00,1994-09-03 03:46:00,,1994-09-03 17:07:00,1994-09-03 17:07:00
AG0220,,RC15000010,FARO,LOULE,QUARTEIRA,2.75,1,3,,DES,1994-07-12 18:17:00,1994-07-12 18:17:00,,1994-07-12 22:25:00,1994-07-12 22:25:00
AG0351,,RC15000016,FARO,V.R.S.ANTÓNIO,V.N.CACELA,3,7,1,,DES,1994-09-11 14:35:00,1994-09-11 14:35:00,,1994-09-11 20:00:00,1994-09-11 20:00:00
AG0363,,RC15000007,FARO,V.BISPO,RAPOSEIRA,3,10,6,,INT,1994-09-16 01:34:00,1994-09-16 01:34:00,,1994-09-16 10:50:00,1994-09-16 10:50:00
AG0052,,RC15000009,FARO,MONCHIQUE,ALFERCE,3,0,6,,DES,1994-04-29 14:30:00,1994-04-29 14:30:00,,1994-04-29 18:00:00,1994-04-29 18:00:00
AG0157,,RC15000009,FARO,FARO,S.PEDRO,3,0,3,,DES,1994-06-28 17:54:00,1994-06-28 17:54:00,,1994-06-28 20:50:00,1994-06-28 20:50:00
AG0290,,RC15000010,FARO,LOULE,ALMANSIL,3,0,6,,DES,1994-08-12 17:00:00,1994-08-12 17:00:00,,1994-08-12 20:45:00,1994-08-12 20:45:00
AG0316,,RC15000001,FARO,ALJEZUR,ROGIL,3,0,4,,DES,1994-08-24 22:52:00,1994-08-24 22:52:00,,1994-08-25 02:10:00,1994-08-25 02:10:00
AG0359,,RC15000010,FARO,LOULE,QUERENÇA,3,0,3,,DES,1994-09-13 15:06:00,1994-09-13 15:06:00,,1994-09-13 17:15:00,1994-09-13 17:15:00
AG0381,,RC15000011,FARO,OLHÃO,FUZETA,3,0,4,,DES,1994-09-21 12:53:00,1994-09-21 12:53:00,,1994-09-21 17:00:00,1994-09-21 17:00:00
AG0408,,RC15000007,FARO,V.BISPO,V.BISPO,3,0,5,,DES,1994-10-13 12:10:00,1994-10-13 12:10:00,,1994-10-13 15:20:00,1994-10-13 15:20:00
AG0173,,RC15000006,FARO,SILVES,S.B.MESSINES,3.5,0,3,,NEG,1994-06-28 12:46:00,1994-06-28 12:46:00,,1994-06-28 17:51:00,1994-06-28 17:51:00
AG0312,,RC15000006,FARO,SILVES,S.M.SERRA,3.5,0,4,,DES,1994-08-24 02:24:00,1994-08-24 02:24:00,,1994-08-25 00:30:00,1994-08-25 00:30:00
AG0050,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,4,0,6,,DES,1994-04-29 04:30:00,1994-04-29 04:30:00,,1994-04-29 12:20:00,1994-04-29 12:20:00
AG0225,,RC15000013,FARO,ALCOUTIM,ALCOUTIM,4,0,6,,DES,1994-07-15 14:48:00,1994-07-15 14:48:00,,1994-07-15 17:03:00,1994-07-15 17:03:00
AG0243,,RC15000003,FARO,LAGOS,BENSAFRIM,4.375,0,4,,DES,1994-07-19 14:46:00,1994-07-19 14:46:00,,1994-07-19 21:05:00,1994-07-19 21:05:00
AG0200,,RC15000014,FARO,C.MARIM,C.MARIM,5,2.6,6,,DES,1994-07-08 19:45:00,1994-07-08 19:45:00,,1994-07-08 23:30:00,1994-07-08 23:30:00
AG0055,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,5,0,7,,DES,1994-04-30 12:47:00,1994-04-30 12:47:00,,1994-04-30 18:30:00,1994-04-30 18:30:00
AG0215,,RC15000004,FARO,MONCHIQUE,ALFERCE,5,0,6,,INT,1994-07-01 21:42:00,1994-07-01 21:42:00,,1994-07-02 04:40:00,1994-07-02 04:40:00
AG0217,,RC15000010,FARO,LOULE,AMEIXIAL,5,0,3,,DES,1994-07-12 14:25:00,1994-07-12 14:25:00,,1994-07-12 22:20:00,1994-07-12 22:20:00
AG0131,,RC15000010,FARO,LOULE,ALMANSIL,6,0,4,,NEG,1994-06-22 14:05:00,1994-06-22 14:05:00,,1994-06-22 19:00:00,1994-06-22 19:00:00
AG0178,,RC15000002,FARO,LAGOA,CARVOEIRO,6,0,6,,DES,1994-07-01 13:24:00,1994-07-01 13:24:00,,1994-07-01 18:00:00,1994-07-01 18:00:00
AG0247,,RC15000014,FARO,C.MARIM,ODELEITE,7.5,0,4,,DES,1994-07-20 17:34:00,1994-07-20 17:34:00,,1994-07-20 23:50:00,1994-07-20 23:50:00
AG0025,,RC15000004,FARO,MONCHIQUE,ALFERCE,12,6,2,,DES,1994-04-11 17:25:00,1994-04-11 17:25:00,,1994-04-12 00:15:00,1994-04-12 00:15:00
AG0214,,RC15000013,FARO,ALCOUTIM,ALCOUTIM,12,138,2,,DES,1994-07-11 15:58:00,1994-07-11 15:58:00,,1994-07-12 16:00:00,1994-07-12 16:00:00
AG0379,,RC15000012,FARO,S.B.ALPORTEL,S.B.ALPORTEL,13,2,4,,DES,1994-09-21 00:01:00,1994-09-21 00:01:00,,1994-09-21 05:45:00,1994-09-21 05:45:00
AG0203,,RC15000010,FARO,LOULE,QUARTEIRA,20,0,7,,DES,1994-07-09 11:15:00,1994-07-09 11:15:00,,1994-07-09 21:04:00,1994-07-09 21:04:00
AG0114,,RC15000004,FARO,MONCHIQUE,MARMELETE,22,0,7,,DES,1994-06-11 14:45:00,1994-06-11 14:45:00,,1994-06-11 20:30:00,1994-06-11 20:30:00
AG0248,,RC15000014,FARO,C.MARIM,C.MARIM,23,0,4,,DES,1994-07-20 16:27:00,1994-07-20 16:27:00,,1994-07-21 00:15:00,1994-07-21 00:15:00
AG0253,,RC15000005,FARO,PORTIMÃO,M.GRANDE,55,30,7,,DES,1994-07-23 15:32:00,1994-07-23 15:32:00,,1994-07-24 01:17:00,1994-07-24 01:17:00
AG0088,,RC15000012,FARO,S.B.ALPORTEL,S.B.ALPORTEL,0,0.001,1,,DES,1994-05-29 01:28:00,1994-05-29 01:28:00,,1994-05-29 01:52:00,1994-05-29 01:52:00
AG0135,,RC15000006,FARO,SILVES,S.B.MESSINES,0,0.001,4,,DES,1994-06-22 15:59:00,1994-06-22 15:59:00,,1994-06-22 16:35:00,1994-06-22 16:35:00
AG0182,,RC15000010,FARO,LOULE,ALMANSIL,0,0.001,1,,DES,1994-07-03 18:11:00,1994-07-03 18:11:00,,1994-07-03 19:15:00,1994-07-03 19:15:00
AG0185,,RC15000006,FARO,SILVES,SILVES,0,0.001,3,,DES,1994-07-05 00:04:00,1994-07-05 00:04:00,,1994-07-05 00:39:00,1994-07-05 00:39:00
AG0228,,RC15000006,FARO,SILVES,ALGOZ,0,0.001,7,,DES,1994-07-16 19:29:00,1994-07-16 19:29:00,,1994-07-16 19:55:00,1994-07-16 19:55:00
AG0296,,RC15000002,FARO,LAGOA,LAGOA,0,0.001,1,,DES,1994-08-14 02:21:00,1994-08-14 02:21:00,,1994-08-14 03:05:00,1994-08-14 03:05:00
AG0320,,RC15000002,FARO,LAGOA,CARVOEIRO,0,0.001,7,,DES,1994-08-27 01:14:00,1994-08-27 01:14:00,,1994-08-27 01:35:00,1994-08-27 01:35:00
AG0340,,RC15000002,FARO,LAGOA,ESTOMBAR,0,0.001,1,,DES,1994-09-04 19:13:00,1994-09-04 19:13:00,,1994-09-04 19:42:00,1994-09-04 19:42:00
AG0378,,RC15000007,FARO,V.BISPO,BUDENS,0,0.001,3,,DES,1994-09-20 22:31:00,1994-09-20 22:31:00,,1994-09-21 02:20:00,1994-09-21 02:20:00
AG0395,,RC15000006,FARO,SILVES,S.B.MESSINES,0,0.001,7,,DES,1994-10-01 20:20:00,1994-10-01 20:20:00,,1994-10-01 20:45:00,1994-10-01 20:45:00
AG0092,,RC15000003,FARO,LAGOS,S.SEBASTIÃO,0,0.002,2,,DES,1994-05-30 14:56:00,1994-05-30 14:56:00,,1994-05-30 15:27:00,1994-05-30 15:27:00
AG0120,,RC15000005,FARO,PORTIMÃO,PORTIMÃO,0,0.002,5,,DES,1994-06-16 20:29:00,1994-06-16 20:29:00,,1994-06-16 20:55:00,1994-06-16 20:55:00
AG0154,,RC15000012,FARO,S.B.ALPORTEL,S.B.ALPORTEL,0,0.002,2,,DES,1994-06-27 03:01:00,1994-06-27 03:01:00,,1994-06-27 03:25:00,1994-06-27 03:25:00
AG0164,,RC15000005,FARO,PORTIMÃO,PORTIMÃO,0,0.002,4,,DES,1994-06-29 17:27:00,1994-06-29 17:27:00,,1994-06-29 18:04:00,1994-06-29 18:04:00
AG0168,,RC15000015,FARO,TAVIRA,SANTIAGO,0,0.002,5,,DES,1994-06-30 13:41:00,1994-06-30 13:41:00,,1994-06-30 14:00:00,1994-06-30 14:00:00
AG0231,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,0,0.002,2,,DES,1994-07-18 11:01:00,1994-07-18 11:01:00,,1994-07-18 11:38:00,1994-07-18 11:38:00
AG0275,,RC15000016,FARO,V.R.S.ANTÓNIO,M.GORDO,0,0.002,6,,DES,1994-08-05 15:56:00,1994-08-05 15:56:00,,1994-08-05 16:45:00,1994-08-05 16:45:00
AG0291,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,0,0.002,6,,DES,1994-08-12 17:21:00,1994-08-12 17:21:00,,1994-08-12 17:40:00,1994-08-12 17:40:00
AG0303,,RC15000012,FARO,S.B.ALPORTEL,S.B.ALPORTEL,0,0.002,7,,DES,1994-08-20 22:50:00,1994-08-20 22:50:00,,1994-08-20 23:15:00,1994-08-20 23:15:00
AG0347,,RC15000003,FARO,LAGOS,BENSAFRIM,0,0.002,5,,DES,1994-09-08 20:26:00,1994-09-08 20:26:00,,1994-09-08 21:10:00,1994-09-08 21:10:00
AG0350,,RC15000011,FARO,OLHÃO,OLHÃO,0,0.002,7,,DES,1994-09-10 22:08:00,1994-09-10 22:08:00,,1994-09-10 22:38:00,1994-09-10 22:38:00
AG0382,,RC15000015,FARO,TAVIRA,STª.MARIA,0,0.002,5,,DES,1994-09-22 08:43:00,1994-09-22 08:43:00,,1994-09-22 09:50:00,1994-09-22 09:50:00
AG0211,,RC15000010,FARO,LOULE,QUARTEIRA,0,0.003,1,,DES,1994-07-10 00:35:00,1994-07-10 00:35:00,,1994-07-10 02:00:00,1994-07-10 02:00:00
AG0253,,RC15000005,FARO,PORTIMÃO,M.GRANDE,0,0.003,1,S,NEG,1994-07-23 10:14:00,1994-07-23 10:14:00,,1994-07-23 14:42:00,1994-07-23 14:42:00
AG0273,,RC15000003,FARO,LAGOS,ODEAXERE,0,0.003,4,,DES,1994-08-03 19:10:00,1994-08-03 19:10:00,,1994-08-03 20:45:00,1994-08-03 20:45:00
AG0294,,RC15000007,FARO,V.BISPO,BUDENS,0,0.003,7,,DES,1994-08-13 17:40:00,1994-08-13 17:40:00,,1994-08-13 18:58:00,1994-08-13 18:58:00
AG0325,,RC15000011,FARO,OLHÃO,OLHÃO,0,0.003,2,,DES,1994-08-30 00:06:00,1994-08-30 00:06:00,,1994-08-30 00:20:00,1994-08-30 00:20:00
