codigo_sgif,observ,codigo_rc,distrito,concelho,freguesia,area_arborizada,area_nao_arborizada,dia_semana,reacendimento,causa,data_inicio,hora_inicio,primeira_intervencao,data_fim,hora_fim
AG0306,Z306,RC15000006,FARO,SILVES,SILVES,8,35,5,S,NEG,1994-08-18 17:13:00,1994-08-18 17:13:00,,1994-08-19 02:05:00,1994-08-19 02:05:00
AG0306,Z306,RC15000006,FARO,SILVES,SILVES,14,86,4,,NEG,1994-08-17 15:55:00,1994-08-17 15:55:00,,1994-08-18 02:45:00,1994-08-18 02:45:00
AG0306,Z306*,RC15000005,FARO,PORTIMÃO,PORTIMÃO,23,57,4,,NEG,1994-08-17 15:55:00,1994-08-17 15:55:00,,1994-08-18 02:45:00,1994-08-18 02:45:00
AG1400,Z1400*,RC15000004,FARO,MONCHIQUE,ALFERCE,115,100,6,,INT,1994-08-19 13:35:00,1994-08-19 13:35:00,,1994-08-21 04:00:00,1994-08-21 04:00:00
AG0221,,RC15000016,FARO,V.R.S.ANTÓNIO,V.R.S.ANTÓNIO,0.005,0,4,,DES,1994-07-13 08:40:00,1994-07-13 08:40:00,,1994-07-13 09:04:00,1994-07-13 09:04:00
AG0028,,RC15000016,FARO,V.R.S.ANTÓNIO,V.R.S.ANTÓNIO,1,0,7,,DES,1994-04-02 16:45:00,1994-04-02 16:45:00,,1994-04-02 20:00:00,1994-04-02 20:00:00
AG0029,,RC15000016,FARO,V.R.S.ANTÓNIO,V.R.S.ANTÓNIO,0,0.05,1,,DES,1994-04-03 14:12:00,1994-04-03 14:12:00,,1994-04-03 15:45:00,1994-04-03 15:45:00
AG0298,,RC15000016,FARO,V.R.S.ANTÓNIO,V.R.S.ANTÓNIO,0,0.05,2,,DES,1994-08-15 20:35:00,1994-08-15 20:35:00,,1994-08-15 21:20:00,1994-08-15 21:20:00
AG0026,,RC15000016,FARO,V.R.S.ANTÓNIO,V.R.S.ANTÓNIO,0,1,7,,DES,1994-04-02 01:29:00,1994-04-02 01:29:00,,1994-04-02 03:00:00,1994-04-02 03:00:00
AG0027,,RC15000016,FARO,V.R.S.ANTÓNIO,V.R.S.ANTÓNIO,0,1,7,,DES,1994-04-02 09:52:00,1994-04-02 09:52:00,,1994-04-02 12:13:00,1994-04-02 12:13:00
AG0342,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,0.001,0,6,,DES,1994-09-02 19:13:00,1994-09-02 19:13:00,,1994-09-02 19:33:00,1994-09-02 19:33:00
AG0224,,RC15000012,FARO,S.B.ALPORTEL,S.B.ALPORTEL,0.004,0,5,,DES,1994-07-14 17:01:00,1994-07-14 17:01:00,,1994-07-14 18:22:00,1994-07-14 18:22:00
AG0268,,RC15000006,FARO,SILVES,S.B.MESSINES,0.005,0,1,,DES,1994-07-31 22:40:00,1994-07-31 22:40:00,,1994-07-31 23:25:00,1994-07-31 23:25:00
AG0024,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,0.01,0,4,,DES,1994-04-13 22:41:00,1994-04-13 22:41:00,,1994-04-13 23:38:00,1994-04-13 23:38:00
AG0040,,RC15000013,FARO,ALCOUTIM,ALCOUTIM,0.01,0,4,,DES,1994-04-20 16:03:00,1994-04-20 16:03:00,,1994-04-20 17:34:00,1994-04-20 17:34:00
AG0057,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,0.01,0,7,,DES,1994-04-30 18:03:00,1994-04-30 18:03:00,,1994-04-30 19:20:00,1994-04-30 19:20:00
AG0236,,RC15000010,FARO,LOULE,ALMANSIL,0.01,0,2,,DES,1994-07-18 16:26:00,1994-07-18 16:26:00,,1994-07-18 17:45:00,1994-07-18 17:45:00
AG0263,,RC15000010,FARO,LOULE,S.SEBASTIÃO,0.01,0,4,,DES,1994-07-27 21:38:00,1994-07-27 21:38:00,,1994-07-27 23:35:00,1994-07-27 23:35:00
AG0012,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,0.02,0,4,,DES,1994-03-09 05:30:00,1994-03-09 05:30:00,,1994-03-09 06:30:00,1994-03-09 06:30:00
AG0238,,RC15000010,FARO,LOULE,QUERENÇA,0.02,0,3,,DES,1994-07-19 11:12:00,1994-07-19 11:12:00,,1994-07-19 12:25:00,1994-07-19 12:25:00
AG0309,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,0.02,0,1,,DES,1994-08-21 15:55:00,1994-08-21 15:55:00,,1994-08-21 16:55:00,1994-08-21 16:55:00
AG0364,,RC15000004,FARO,MONCHIQUE,ALFERCE,0.025,0,6,,DES,1994-09-16 22:19:00,1994-09-16 22:19:00,,1994-09-16 23:30:00,1994-09-16 23:30:00
AG0005,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,0.03,0,4,,DES,1994-01-26 10:50:00,1994-01-26 10:50:00,,1994-01-26 12:00:00,1994-01-26 12:00:00
AG0222,,RC15000010,FARO,LOULE,QUARTEIRA,0.03,0,5,,DES,1994-07-14 12:47:00,1994-07-14 12:47:00,,1994-07-14 14:05:00,1994-07-14 14:05:00
AG0272,,RC15000008,FARO,ALBUFEIRA,ALBUFEIRA,0.03,0,4,,DES,1994-08-03 18:47:00,1994-08-03 18:47:00,,1994-08-03 19:35:00,1994-08-03 19:35:00
AG0385,,RC15000001,FARO,ALJEZUR,ROGIL,0.03,0,2,,DES,1994-09-26 19:51:00,1994-09-26 19:51:00,,1994-09-26 22:25:00,1994-09-26 22:25:00
