ano,codigo_sgif,observ,concelho,freguesia,data_inicio,hora_inicio,data_fim,hora_fim,area_arborizada,area_nao_arborizada,area_total,causa
1985,,,PORTALEGRE,SE,1985-12-03,15:55,1985-12-03,17:15,0,0.5,0.5,1
1985,,,ODEMIRA,S LUIS,1985-12-03,23:10,1985-12-04,0:56,0,0.2,0.2,12
1985,,,PORTALEGRE,REGUENGO,1985-12-02,8:05,1985-12-02,10:23,1.5,0,1.5,12
1985,,,AMARES,STA MARIA-BOURO,1985-12-02,23:00,1985-12-03,4:30,0,0.1,0.1,12
1985,,,MONTEMOR-O-NOVO,CIBORRO,1985-11-29,18:00,1985-11-29,21:30,0,2,2,1
1985,,,PORTALEGRE,URRA,1985-11-24,10:35,1985-11-24,12:20,0,4,4,1
1985,,,ESTREMOZ,VEIROS,1985-11-24,17:10,1985-11-24,20:00,0,2,2,12
1985,,,ALANDROAL,N SENH DA CONCEIÇÃO-ALANDROAL,1985-11-24,16:45,1985-11-24,18:00,0,0.5,0.5,12
1985,,,REGUENGOS MONSARAZ,REGUENGOS DE MONSARAZ,1985-11-24,18:13,1985-11-24,20:15,0,2,2,1
1985,,,ALANDROAL,N SENH DA CONCEIÇÃO-ALANDROAL,1985-11-24,6:30,1985-11-24,7:45,0,1,1,12
1985,,,AVIS,VALONGO,1985-11-24,14:00,1985-11-24,18:10,2,0,2,12
1985,,,ARRAIOLOS,ARRAIOLOS,1985-11-23,15:57,1985-11-23,16:40,0,1,1,1
1985,,,PORTALEGRE,URRA,1985-11-23,22:48,1985-11-23,23:30,0,1,1,13
1985,,,SINES,SINES,1985-11-22,10:30,1985-11-22,11:35,0.1,0.5,0.6,12
1985,,,MONCHIQUE,MONCHIQUE,1985-11-21,10:30,1985-11-21,14:10,5,5,10,12
1985,,,MONTEMOR-O-NOVO,LAVRE,1985-11-21,15:00,1985-11-21,16:30,0.1,0.2,0.3,12
1985,,,PORTALEGRE,ALEGRETE,1985-11-20,15:10,1985-11-20,16:35,0.2,0.2,0.4,1
1985,,,SINES,SINES,1985-11-19,17:40,1985-11-19,18:40,0.1,0.5,0.6,12
1985,,,MONCHIQUE,MONCHIQUE,1985-11-18,15:00,1985-11-18,16:00,0,0.5,0.5,12
1985,,,CASTELO DE VIDE,N SRA DA GRAÇA POVOA E MEADA,1985-11-18,15:53,1985-11-18,17:50,0,3,3,12
1985,,,LOULE,QUARTEIRA,1985-11-17,18:10,1985-11-17,21:10,0,2,2,1
1985,,,PORTALEGRE,RIBEIRA DE NISA,1985-11-17,13:00,1985-11-17,14:00,0,0.2,0.2,12
1985,,,SANTIAGO DO CACEM,SANTIAGO DO CACEM,1985-11-17,15:15,1985-11-17,16:00,0.1,0.5,0.6,12
1985,,,AVIS,ALCORREGO,1985-11-16,13:45,1985-11-16,15:30,1,4,5,1
1985,,,ODEMIRA,S TEOTONIO,1985-11-15,12:50,1985-11-15,16:40,2,2,4,12
1985,,,SANTIAGO DO CACEM,CERCAL,1985-11-12,17:10,1985-11-12,20:30,3,0,3,1
1985,,,SANTIAGO DO CACEM,CERCAL,1985-11-11,13:25,1985-11-11,15:15,0.5,0,0.5,1
1985,,,VILA VIÇOSA,BENCATEL,1985-11-09,15:45,1985-11-09,16:05,3,0,3,1
1985,,,ODEMIRA,SANTA MARIA-ODEMIRA,1985-11-08,13:50,1985-11-08,15:45,0,6,6,1
1985,,,REGUENGOS MONSARAZ,REGUENGOS DE MONSARAZ,1985-11-08,15:00,1985-11-08,17:30,0,0.8,0.8,1
1985,,,PORTALEGRE,URRA,1985-11-08,15:45,1985-11-08,16:40,0,4,4,1
1985,,,MONÇÃO,LONGOS VALES,1985-11-01,11:25,1985-11-02,2:30,25,0,25,10
1985,,,ALANDROAL,N SENH DA CONCEIÇÃO-ALANDROAL,1985-11-01,15:00,1985-11-01,18:00,0,4,4,12
1985,,,CASTELO DE VIDE,N SRA DA GRAÇA POVOA E MEADA,1985-11-01,17:00,1985-11-01,18:30,0,0.1,0.1,12
1985,,,ALANDROAL,N SENH DA CONCEIÇÃO-ALANDROAL,1985-11-01,13:30,1985-11-01,16:00,0,1,1,12
1985,,,MONÇÃO,MERUFE,1985-11-01,1:09,1985-11-01,6:00,0.2,2,2.2,10
1985,,,MONCHIQUE,MONCHIQUE,1985-11-01,16:40,1985-11-01,19:00,0,1,1,12
1985,,,ARRAIOLOS,OUTRAS,1985-11-01,13:33,1985-11-01,15:40,0,0.6,0.6,1
1985,,,ODEMIRA,SANTA MARIA-ODEMIRA,1985-11-01,12:00,1985-11-01,12:30,0,0.5,0.5,10
1985,,,ESTREMOZ,OUTRAS,1985-11-01,14:30,1985-11-01,15:30,0,0.1,0.1,12
1985,,,SILVES,SÃO BARTOLOMEU DE MESSINES,1985-10-31,16:00,1985-10-31,16:30,0,0.5,0.5,1
1985,,,AVIS,ALCORREGO,1985-10-31,14:38,1985-10-31,15:15,0,0.2,0.2,1
1985,,,VISEU,ORGENS,1985-10-31,17:15,1985-10-31,18:00,0,1.5,1.5,10
1985,,,AVIS,AVIS,1985-10-31,14:08,1985-10-31,16:40,1,4,5,12
1985,,,ALBUFEIRA,ALBUFEIRA,1985-10-31,11:27,1985-10-31,12:25,0,1,1,1
1985,,,VILA DO BISPO,RAPOSEIRA,1985-10-31,10:00,1985-10-31,18:00,0,4,4,12
1985,,,VISEU,SILGUEIROS,1985-10-30,14:20,1985-10-30,18:20,1.5,1.5,3,12
1985,,,VISEU,SANTOS EVOS,1985-10-30,16:30,1985-10-30,17:30,0.5,0,0.5,12
1985,,,VISEU,BODIOSA,1985-10-30,17:20,1985-10-30,19:30,0,10,10,12
1985,,,VISEU,ABRAVEZES,1985-10-30,17:30,1985-10-30,18:15,0.3,0.2,0.5,12
1985,,,MONÇÃO,LORDELO,1985-10-30,21:50,1985-10-31,4:40,43.3,5,48.3,10
1985,,,VISEU,SÃO JOÃO DE LOUROSA,1985-10-29,0:30,1985-10-29,1:50,0,1,1,12
