codigo_sgif,distrito,concelho,freguesia,data_inicio,hora_inicio,data_fim,hora_fim,reacendimento,area_povoamento,area_mato,area_total,causa
BL0505,VISEU,VOUZELA,CAMPIA,1997-04-03,14:34:00,1997-04-03,16:38:00,S,0.02,0,0.02,REAC
BL0474,COIMBRA,GÓIS,GÓIS,1997-03-10,11:40:00,1997-03-11,01:11:00,S,107,282,389,REAC
BL0470,VISEU,SANTA COMBA DÃO,TREIXEDO,1997-03-23,18:15:00,1997-03-23,19:50:00,S,0.75,0,0.75,REAC
BL0470,VISEU,SANTA COMBA DÃO,TREIXEDO,1997-07-07,21:30:00,1997-07-07,00:00:00,S,0.15,0,0.15,REAC
BL0460,COIMBRA,CANTANHEDE,PORTUNHOS,1997-03-11,13:37:00,1997-03-11,14:25:00,S,0,0.01,0.01,REAC
BL0446,VISEU,TONDELA,NANDUFE,1997-04-07,16:00:00,1997-04-07,17:54:00,S,0,0.02,0.02,REAC
BL0441,GUARDA,AGUIAR DA BEIRA,PINHEIRO,1997-04-05,16:37:00,1997-04-05,21:29:00,S,1,0,1,REAC
BL0441,GUARDA,AGUIAR DA BEIRA,PINHEIRO,1997-04-04,22:10:00,1997-04-05,03:10:00,S,2,0,2,REAC
BL0440,GUARDA,AGUIAR DA BEIRA,PINHEIRO,1997-03-31,12:58:00,1997-03-31,17:35:00,S,1,0,1,REAC
BL0440,GUARDA,AGUIAR DA BEIRA,PINHEIRO,1997-03-30,21:55:00,1997-03-30,23:11:00,S,1,0,1,REAC
BL0438,VISEU,CARREGAL DO SAL,PAPÍZIOS,1997-03-03,18:19:00,1997-03-03,18:55:00,S,0.01,0,0.01,REAC
BL0419,VISEU,VOUZELA,FIGUEIREDO DAS DONAS,1997-03-28,09:23:00,1997-03-28,23:50:00,S,0,0.5,0.5,REAC
BL0419,VISEU,VOUZELA,FIGUEIREDO DAS DONAS,1997-03-25,23:10:00,1997-03-26,00:48:00,S,0,0.01,0.01,REAC
BL0419,VISEU,VOUZELA,FIGUEIREDO DAS DONAS,1997-03-25,06:05:00,1997-03-25,09:22:00,S,0,0.5,0.5,REAC
BL0419,VISEU,VOUZELA,FIGUEIREDO DAS DONAS,1997-03-23,15:08:00,1997-03-23,16:10:00,S,0,0.02,0.02,REAC
BL0419,VISEU,VOUZELA,FIGUEIREDO DAS DONAS,1997-03-23,10:50:00,1997-03-23,13:23:00,S,0,0.03,0.03,REAC
BL0419,VISEU,VOUZELA,FIGUEIREDO DAS DONAS,1997-03-22,21:42:00,1997-03-23,00:06:00,S,0,0.5,0.5,REAC
BL0419,VISEU,VOUZELA,FIGUEIREDO DAS DONAS,1997-03-21,22:58:00,1997-03-22,00:45:00,S,0,0.5,0.5,REAC
BL0419,VISEU,VOUZELA,FIGUEIREDO DAS DONAS,1997-03-21,18:28:00,1997-03-21,19:55:00,S,0,0.5,0.5,REAC
BL0419,VISEU,VOUZELA,FIGUEIREDO DAS DONAS,1997-03-18,18:20:00,1997-03-18,20:20:00,S,0,0.02,0.02,REAC
BL0409,VISEU,CARREGAL DO SAL,PAPÍZIOS,1997-03-19,16:55:00,1997-03-19,17:55:00,S,0,0.2,0.2,REAC
BL0406,AVEIRO,SEVER DO VOUGA,SEVER DO VOUGA,1997-04-30,16:56:00,1997-04-30,18:13:00,S,0.03,0,0.03,REAC
BL0368,VISEU,VISEU,MUNDÃO,1997-03-05,14:45:00,1997-03-05,15:25:00,S,0,0.03,0.03,REAC
BL0335,COIMBRA,CANTANHEDE,COVÕES,1997-04-07,14:28:00,1997-04-07,15:00:00,S,0,0.05,0.05,REAC
BL0334,COIMBRA,CANTANHEDE,COVÕES,1997-03-23,11:45:00,1997-03-23,12:13:00,S,0.02,0,0.02,REAC
BL0032,VISEU,VISEU,CALDE,1997-03-19,14:10:00,1997-03-19,15:08:00,S,0,0.01,0.01,REAC
BL0315,AVEIRO,OVAR,ESMORIZ,1997-04-14,23:45:00,1997-04-15,00:33:00,S,0,0.01,0.01,REAC
BL0307,LEIRIA,ANSIÃO,SANTIAGO DA GUARDA,1997-04-16,03:10:00,1997-04-16,04:30:00,S,0.01,0,0.01,REAC
BL0029,AVEIRO,ANADIA,ARCOS,1997-04-06,05:50:00,1997-04-06,07:27:00,S,0,0.04,0.04,REAC
BL0029,AVEIRO,ANADIA,ARCOS,1997-04-05,12:30:00,1997-04-05,14:12:00,S,0,0.01,0.01,REAC
BL0029,AVEIRO,ANADIA,ARCOS,1997-04-05,09:13:00,1997-04-05,10:34:00,S,0,0.01,0.01,REAC
BL0029,AVEIRO,ANADIA,ARCOS,1997-04-05,07:27:00,1997-04-05,08:50:00,S,0,0.01,0.01,REAC
BL0029,AVEIRO,ANADIA,ARCOS,1997-04-04,13:44:00,1997-04-04,15:21:00,S,0.5,0.5,1,REAC
BL0029,AVEIRO,ANADIA,ARCOS,1997-04-04,12:13:00,1997-04-04,13:30:00,S,0,0.5,0.5,REAC
BL0292,VISEU,SÁTÃO,RIO DE MOINHOS,1997-04-01,06:54:00,1997-04-01,09:40:00,S,20,25,45,REAC
BL0290,LEIRIA,POMBAL,ABIUL,1997-07-22,06:35:00,1997-07-22,08:35:00,S,0,0.01,0.01,REAC
BL0290,LEIRIA,POMBAL,ABIUL,1997-07-22,11:12:00,1997-07-22,12:23:00,S,0,0.01,0.01,REAC
BL0290,LEIRIA,POMBAL,ABIUL,1997-07-21,16:00:00,1997-07-21,17:14:00,S,0,0.01,0.01,REAC
BL0290,LEIRIA,POMBAL,ABIUL,1997-07-09,18:57:00,1997-07-09,21:10:00,S,0.1,0,0.1,REAC
BL0287,VISEU,TONDELA,GUARDÃO,1997-03-23,10:53:00,1997-03-23,18:20:00,S,0,0.01,0.01,REAC
BL0280,LEIRIA,PEDROGÃO GRANDE,PEDROGÃO GRANDE,1997-04-16,11:28:00,1997-04-16,13:45:00,S,0.02,0,0.02,REAC
BL0280,LEIRIA,PEDROGÃO GRANDE,PEDROGÃO GRANDE,1997-04-15,16:08:00,1997-04-15,21:20:00,S,0.3,0.2,0.5,REAC
BL0279,LEIRIA,PEDROGÃO GRANDE,PEDROGÃO GRANDE,1997-03-16,12:13:00,1997-03-16,20:48:00,S,0.01,0,0.01,REAC
BL0273,LEIRIA,POMBAL,ABIUL,1997-06-25,20:30:00,1997-06-25,23:10:00,S,0.1,0,0.1,REAC
BL0270,VISEU,SANTA COMBA DÃO,COUTO DO MOSTEIRO,1997-04-13,16:45:00,1997-04-13,17:52:00,S,0,0.01,0.01,REAC
BL0270,VISEU,SANTA COMBA DÃO,COUTO DO MOSTEIRO,1997-04-13,13:00:00,1997-04-13,13:58:00,S,0,0.01,0.01,REAC
BL0268,VISEU,SÃO PEDRO DO SUL,CARVALHAIS,1997-03-28,23:35:00,1997-03-29,00:43:00,S,0,0.01,0.01,REAC
BL0267,AVEIRO,OVAR,OVAR,1997-05-02,14:19:00,1997-05-02,14:48:00,S,0,0.01,0.01,REAC
