ano,codigo_sgif,observ,concelho,freguesia,data_inicio,hora_inicio,data_fim,hora_fim,area_arborizada,area_nao_arborizada,area_total,causa
1984,,,CORUCHE,CORUCHE,1984-10-22,13:25,1984-10-22,14:31,0,2,2,1
1984,,,PONTE DE SOR,PONTE DE SOR,1984-10-19,16:30,1984-10-21,3:00,335,0,335,12
1984,,,FIGUEIRA DA FOZ,TAVAREDE,1984-10-17,2:50,1984-10-17,3:55,0,0.3,0.3,12
1984,,,NELAS,CANAS DE SENHORIM,1984-10-17,11:15,1984-10-17,12:40,0,0.2,0.2,2
1984,,,SERNANCELHE,CHOSENDO,1984-10-17,15:30,1984-10-17,16:40,0,1,1,12
1984,,,FIGUEIRO DOS VINHOS,FIGUEIRO DOS VINHOS,1984-10-16,14:50,1984-10-16,15:45,0.5,0,0.5,12
1984,,,PENALVA DO CASTELO,CASTELO DE PENALVA,1984-10-16,14:10,1984-10-16,16:00,0.1,0,0.1,12
1984,,,PORTALEGRE,SÃO LOURENÇO,1984-10-16,3:45,1984-10-16,5:37,0.5,0,0.5,12
1984,,,CORUCHE,CORUCHE,1984-10-16,12:45,1984-10-16,14:50,5,4,9,12
1984,,,VIANA DO CASTELO,CARVOEIRO,1984-10-16,17:30,1984-10-16,20:00,3,3,6,12
1984,,,PORTALEGRE,SE,1984-10-16,15:35,1984-10-16,17:50,0.5,0,0.5,12
1984,,,SÃO PEDRO DO SUL,SANTA CRUZ DA TRAPA,1984-10-15,12:00,1984-10-15,19:30,0,2,2,12
1984,,,SÃO PEDRO DO SUL,SÃO FELIX,1984-10-15,12:45,1984-10-15,14:50,0,1,1,12
1984,,,ARGANIL,SECARIAS,1984-10-15,15:25,1984-10-15,16:35,0,1,1,1
1984,,,ARCOS DE VALDEVEZ,PORTELA,1984-10-15,10:35,1984-10-15,11:15,0,0.2,0.2,12
1984,,,SABUGAL,QUADRAZAIS,1984-10-14,16:00,1984-10-14,17:00,0,1,1,10
1984,,,PORTALEGRE,SÃO LOURENÇO,1984-10-14,5:00,1984-10-14,8:40,0.5,0,0.5,12
1984,,,MONÇÃO,ANH@ES,1984-10-14,18:30,1984-10-14,19:15,0,0.2,0.2,12
1984,,,MOIMENTA DA BEIRA,ARCOZELOS,1984-10-14,23:00,1984-10-14,23:45,1,0,1,12
1984,,,PORTALEGRE,SÃO LOURENÇO,1984-10-14,20:00,1984-10-14,20:35,0.1,0,0.1,12
1984,,,PORTALEGRE,SÃO LOURENÇO,1984-10-14,10:10,1984-10-14,12:10,0.5,0,0.5,12
1984,,,COVILHÃ,TEIXOSO,1984-10-14,2:40,1984-10-14,6:30,0,3,3,12
1984,,,SÃO PEDRO DO SUL,SANTA CRUZ DA TRAPA,1984-10-14,16:15,1984-10-14,16:50,0,0,0,12
1984,,,VILA NOVA DE GAIA,OLIVAL,1984-10-14,20:30,1984-10-14,21:30,0.2,0.1,0.3,12
