codigo_sgif,observ,codigo_rc,distrito,concelho,freguesia,area_arborizada,area_nao_arborizada,dia_semana,reacendimento,causa,data_inicio,hora_inicio,primeira_intervencao,data_fim,hora_fim
TM02882,,RC11700005,VILA REAL,SANTA MARTA DE PENAGUIÃO,FONTES,0.01,0.01,2,S,REA,1995-08-21,15:05:00,,1995-08-21 20:50:00,20:50:00
TM00143,,RC11700004,VILA REAL,SABROSA,SÃO MARTINHO DE ANTAS,0,0.01,5,S,REA,1995-03-30,19:05:00,,1995-03-30 20:10:00,20:10:00
TM00310,,RC11700006,VILA REAL,VILA REAL,SÃO TOMÉ DO CASTELO,0,0.01,2,S,REA,1995-04-10,18:55:00,,1995-04-10 22:05:00,22:05:00
TM00315,,RC11700006,VILA REAL,VILA REAL,VALNOGUEIRAS,0,0.01,2,S,REA,1995-04-10,21:40:00,,1995-04-10 22:40:00,22:40:00
TM00374,,RC11700006,VILA REAL,VILA REAL,VALNOGUEIRAS,0,0.01,6,S,REA,1995-04-14,21:10:00,,1995-04-14 22:35:00,22:35:00
TM00418,,RC11700004,VILA REAL,SABROSA,SÃO MARTINHO DE ANTAS,0,0.01,3,S,REA,1995-04-18,03:45:00,,1995-04-18 04:40:00,04:40:00
TM00588,,RC11700006,VILA REAL,VILA REAL,ADOUFE,0,0.01,4,S,REA,1995-05-31,16:40:00,,1995-05-31 19:35:00,19:35:00
TM00604,,RC11700006,VILA REAL,VILA REAL,MOUÇÓS,0,0.01,1,S,REA,1995-06-04,21:00:00,,1995-06-04 22:15:00,22:15:00
TM00609,,RC11700006,VILA REAL,VILA REAL,PARADA DE CUNHOS,0,0.01,1,S,REA,1995-06-04,15:45:00,,1995-06-04 16:25:00,16:25:00
TM00672,,RC11700006,VILA REAL,VILA REAL,PARADA DE CUNHOS,0,0.01,1,S,REA,1995-06-11,12:00:00,,1995-06-11 12:30:00,12:30:00
TM00672,,RC11700006,VILA REAL,VILA REAL,PARADA DE CUNHOS,0,0.01,2,S,REA,1995-06-12,12:40:00,,1995-06-12 13:30:00,13:30:00
TM00710,,RC11700006,VILA REAL,VILA REAL,MOUÇÓS,0,0.01,1,S,REA,1995-06-18,22:25:00,,1995-06-18 23:45:00,23:45:00
TM00745,,RC11700006,VILA REAL,VILA REAL,VALNOGUEIRAS,0,0.01,7,S,REA,1995-06-17,16:00:00,,1995-06-17 18:45:00,18:45:00
TM00746,,RC11700004,VILA REAL,SABROSA,SOUTO MAIOR,0,0.01,7,S,REA,1995-06-17,12:47:00,,1995-06-17 14:00:00,14:00:00
TM00746,,RC11700004,VILA REAL,SABROSA,SOUTO MAIOR,0,0.01,7,S,REA,1995-06-17,14:10:00,,1995-06-17 16:05:00,16:05:00
TM00746,,RC11700004,VILA REAL,SABROSA,SOUTO MAIOR,0,0.01,1,S,REA,1995-06-18,16:25:00,,1995-06-18 18:17:00,18:17:00
TM00746,,RC11700004,VILA REAL,SABROSA,SOUTO MAIOR,0,0.01,2,S,REA,1995-06-19,07:00:00,,1995-06-19 08:05:00,08:05:00
TM00763,,RC11700006,VILA REAL,VILA REAL,FOLHADELA,0,0.01,7,S,REA,1995-06-17,18:55:00,,1995-06-17 20:30:00,20:30:00
TM00786,,RC11700006,VILA REAL,VILA REAL,MOUÇÓS,0,0.01,3,S,REA,1995-06-20,01:50:00,,1995-06-20 03:05:00,03:05:00
TM00786,,RC11700006,VILA REAL,VILA REAL,MOUÇÓS,0,0.01,4,S,REA,1995-06-21,05:20:00,,1995-06-21 06:45:00,06:45:00
TM01024,,RC11700001,VILA REAL,ALIJÓ,VILAR DE MAÇADA,0,0.01,4,S,REA,1995-07-19,13:33:00,,1995-07-19 16:05:00,16:05:00
TM01028,,RC11700006,VILA REAL,VILA REAL,PARADA DE CUNHOS,0,0.01,6,S,REA,1995-07-21,22:35:00,,1995-07-21 23:15:00,23:15:00
