ano,codigo_sgif,observ,concelho,freguesia,data_inicio,hora_inicio,data_fim,hora_fim,area_arborizada,area_nao_arborizada,area_total,causa
1987,,,PEDROGÃO GRANDE,PEDROGÃO GRANDE,1987-10-12,1:50,1987-10-13,3:00,0.1,0,0.1,12
1987,,,ALMEIDA,OUTRAS,1987-09-30,13:45,1987-09-30,14:05,0,2,2,12
1987,,,ALMEIDA,LEOMIL,1987-09-30,13:37,1987-09-30,15:00,0,0.2,0.2,12
1987,,,ALMEIDA,OUTRAS,1987-09-30,12:50,1987-09-30,13:40,0,0.3,0.3,12
1987,,,ALMEIDA,MALPARTIDA,1987-09-30,11:10,1987-09-30,12:10,0,0.6,0.6,12
1987,,,SABUGAL,OUTRAS,1987-09-29,15:55,1987-09-29,16:25,0,0.2,0.2,12
1987,,,ALMEIDA,OUTRAS,1987-09-28,14:45,1987-09-28,15:45,0,0.5,0.5,12
1987,,,VILA NOVA DE POIARES,POIARES (SANTO ANDRE),1987-09-26,22:00,1987-09-27,0:50,0.1,0,0.1,12
1987,,,ODEMIRA,S TEOTONIO,1987-09-26,22:30,1987-09-27,1:40,0,15,15,1
1987,,,SEVER DO VOUGA,OUTRAS,1987-09-22,11:00,1987-09-22,12:00,0.1,0,0.1,12
1987,,,SEVER DO VOUGA,CEDRIM,1987-09-22,14:00,1987-09-22,15:00,0.1,0,0.1,12
1987,,,CHAVES,SEARA VELHA,1987-09-22,16:55,1987-09-22,18:15,0,0.1,0.1,10
1987,,,LOULE,QUERENÇA,1987-09-22,11:30,1987-09-22,19:00,1.5,0.5,2,12
1987,,,SEVER DO VOUGA,ROCAS DO VOUGA,1987-09-22,17:30,1987-09-22,19:00,0.1,0,0.1,12
1987,,,TRANCOSO,FRECHES,1987-09-21,14:40,1987-09-21,15:25,0.1,0.2,0.3,12
1987,,,FUNDÃO,CASTELEJO,1987-09-21,16:25,1987-09-21,18:00,0,0.5,0.5,12
1987,,,COIMBRA,SANTO ANTONIO DOS OLIVAIS,1987-09-21,2:59,1987-09-21,5:51,0,0.1,0.1,12
1987,,,COIMBRA,SÃO PAULO DE FRADES,1987-09-21,8:19,1987-09-21,9:40,0,0.1,0.1,12
1987,,,COIMBRA,SANTO ANTONIO DOS OLIVAIS,1987-09-21,10:09,1987-09-21,12:40,0,0.1,0.1,12
1987,,,MEDA,CORISCADA,1987-09-21,15:15,1987-09-21,18:15,2,3,5,12
1987,,,COIMBRA,SANTO ANTONIO DOS OLIVAIS,1987-09-21,22:13,1987-09-21,22:45,0,0.1,0.1,12
1987,,,MEDA,OUTRAS,1987-09-21,22:20,1987-09-22,1:15,0,5,5,12
1987,,,POMBAL,VERMOIL,1987-09-21,16:00,1987-09-21,22:40,0.2,0,0.2,12
1987,,,POMBAL,REDINHA,1987-09-21,17:20,1987-09-21,19:00,0.2,0,0.2,12
1987,,,RIBEIRA DE PENA,CERVA,1987-09-21,20:02,1987-09-22,9:45,0.5,0,0.5,12
1987,,,MIRA,MIRA,1987-09-21,15:04,1987-09-21,17:04,0.2,0,0.2,12
1987,,,BOTICAS,FIÃES DO TAMEGA,1987-09-21,15:00,1987-09-21,15:40,0,0,0,12
1987,,,OLIVEIRA DO HOSPITAL,LAGARES,1987-09-21,15:00,1987-09-21,16:00,0.1,0,0.1,12
1987,,,FIGUEIRA DA FOZ,TAVAREDE,1987-09-21,13:38,1987-09-21,15:05,0,0.1,0.1,12
1987,,,VILA NOVA DE PAIVA,VILA NOVA DE PAIVA,1987-09-20,13:30,1987-09-20,15:00,0,0.1,0.1,12
1987,,,VILA NOVA CERVEIRA,MENTRESTIDE,1987-09-20,14:30,1987-09-20,15:30,0.1,0.1,0.2,10
1987,,,BOTICAS,FIÃES DO TAMEGA,1987-09-20,10:37,1987-09-21,6:00,750,0,750,12
1987,,,MONTALEGRE,REIGOSO,1987-09-20,11:45,1987-09-20,16:00,16,0,16,10
1987,,,VISEU,CALDE,1987-09-20,13:40,1987-09-20,15:20,0.1,0,0.1,12
1987,,,MIRANDELA,ABREIRO,1987-09-20,20:59,1987-09-21,1:00,0,3,3,10
1987,,,VINHAIS,FRESULFE,1987-09-20,17:45,1987-09-20,20:00,1,1,2,12
1987,,,VISEU,BODIOSA,1987-09-20,14:45,1987-09-20,16:20,1,1,2,12
1987,,,AMARES,BARREIROS,1987-09-20,18:00,1987-09-20,19:30,0,0.5,0.5,12
1987,,,MONTALEGRE,MONTALEGRE,1987-09-20,10:30,1987-09-20,11:00,0.3,0,0.3,10
1987,,,VILA NOVA CERVEIRA,LOIVO,1987-09-20,23:55,1987-09-21,1:35,0,0.6,0.6,10
1987,,,TRANCOSO,TERRENHO,1987-09-20,17:45,1987-09-20,19:00,0,0.5,0.5,11
1987,,,FIG CASTELO RODRIGO,VILAR DE AMARGO,1987-09-20,19:10,1987-09-20,21:30,0,3,3,12
1987,,,TONDELA,VILAR DE BESTEIROS,1987-09-20,13:00,1987-09-20,14:05,0,0.1,0.1,12
1987,,,TRANCOSO,FRECHES,1987-09-20,13:45,1987-09-20,15:00,0,0.5,0.5,12
1987,,,CASTELO BRANCO,MONFORTE DA BEIRA,1987-09-20,17:20,1987-09-20,18:35,0,1,1,10
1987,,,CANTANHEDE,TOCHA,1987-09-20,13:30,1987-09-20,15:00,0.1,0,0.1,12
1987,,,ARGANIL,COJA,1987-09-20,18:30,1987-09-20,19:30,0,0.1,0.1,12
1987,,,CINFÃES,CINFÃES,1987-09-20,12:55,1987-09-20,15:40,0,0.1,0.1,12
1987,,,LOUSÃ,FOZ DE AROUCE,1987-09-20,21:55,1987-09-21,1:30,0.5,0,0.5,12
1987,,,MIRA,MIRA,1987-09-20,14:15,1987-09-20,20:30,0.1,0,0.1,12
1987,,,MIRANDA DO CORVO,VILA NOVA,1987-09-20,2:27,1987-09-20,6:00,0.1,0,0.1,12
1987,,,CINFÃES,CINFÃES,1987-09-20,20:15,1987-09-20,21:30,0,0.1,0.1,12
1987,,,PENALVA DO CASTELO,SEZURES,1987-09-20,13:10,1987-09-20,15:15,0.1,0.1,0.2,12
1987,,,MONTALEGRE,MEIXIDE,1987-09-20,21:28,1987-09-21,4:35,0,20,20,11
1987,,,VILA POUCA DE AGUIAR,ALFARELA DE JALES,1987-09-20,14:41,1987-09-20,16:25,0,0.5,0.5,10
1987,,,VALPAÇOS,VASSAL,1987-09-20,13:58,1987-09-20,15:58,0,2,2,10
1987,,,AGUEDA,VALONGO DO VOUGA,1987-09-20,12:30,1987-09-20,14:30,0.2,0,0.2,12
1987,,,VILA NOVA DE PAIVA,VILA COVA A COELHERA,1987-09-20,14:30,1987-09-20,17:00,0,1,1,12
1987,,,SÃO PEDRO DO SUL,SERRAZES,1987-09-20,20:30,1987-09-20,22:00,2,0.5,2.5,12
1987,,,SÃO PEDRO DO SUL,SERRAZES,1987-09-20,20:00,1987-09-20,21:00,1.5,0,1.5,12
1987,,,PENACOVA,SÃO PEDRO DE ALVA,1987-09-20,9:00,1987-09-20,17:00,15,0,15,12
1987,,,TOMAR,SERRA,1987-09-20,13:55,1987-09-20,15:00,2,0,2,12
1987,,,PENELA,PENELA (SÃO MIGUEL),1987-09-20,2:30,1987-09-20,3:30,0,0.5,0.5,12
1987,,,PENELA,PENELA (SÃO MIGUEL),1987-09-20,0:30,1987-09-20,4:00,0,2,2,12
1987,,,VILA NOVA DE POIARES,LAVEGADAS,1987-09-20,20:00,1987-09-20,21:00,0,0.1,0.1,12
1987,,,VILA NOVA DE FOZ COA,CHÃS,1987-09-20,16:20,1987-09-20,18:00,0,0.5,0.5,12
1987,,,VOUZELA,ALCOFRA,1987-09-19,15:15,1987-09-19,16:15,0,0.1,0.1,12
1987,,,PONTE DE LIMA,VITORINO DOS PIÃES,1987-09-19,17:20,1987-09-19,18:30,0.1,0,0.1,10
1987,,,BRAGANÇA,QUINTANILHA,1987-09-19,12:43,1987-09-19,14:05,0,2,2,12
1987,,,MIRANDA DO CORVO,MIRANDA DO CORVO,1987-09-19,19:00,1987-09-20,2:30,0,0.5,0.5,12
1987,,,AVEIRO,NARIZ,1987-09-19,0:30,1987-09-19,2:30,0,0.1,0.1,12
1987,,,VINHAIS,CUROPOS,1987-09-19,19:00,1987-09-20,1:07,1,2,3,10
1987,,,TRANCOSO,FEITAL,1987-09-19,1:45,1987-09-19,2:45,0,0.5,0.5,12
1987,,,OURIQUE,PANOIAS,1987-09-19,5:00,1987-09-19,5:45,0,6,6,10
1987,,,FIGUEIRA DA FOZ,TAVAREDE,1987-09-19,2:20,1987-09-19,2:50,0.5,0,0.5,12
