codigo_sgif,distrito,concelho,freguesia,data_inicio,hora_inicio,data_fim,hora_fim,reacendimento,area_povoamento,area_mato,area_total,causa
AG    1-99,Faro,Vila do Bispo,Vila do Bispo,1999-01-01,17:54:00,1999-01-01,18:50:00,,0,0.05,0.05,
RO1230,Santarém,Ourém,Freixianda,1999-01-04,17:37:00,1999-01-04,18:38:00,,0,0.001,0.001,
BI07000315,Guarda,Seia,Sabugueiro,1999-01-05,18:15:00,1999-01-05,19:20:00,,0,1,1,
BL03000006,Aveiro,Águeda,Águeda,1999-01-05,19:03:00,1999-01-05,20:28:00,,0.7,0,0.7,
BL03000034,Viseu,Vila Nova de Paiva,Fráguas,1999-01-05,22:43:00,1999-01-05,23:15:00,,0,0.01,0.01,
BL0500015,Coimbra,Lousã,Serpins,1999-01-05,19:55:00,1999-01-05,21:06:00,,0,0.03,0.03,INT
BL0500017,Coimbra,Mira,Praia de Mira,1999-01-05,15:53:00,1999-01-05,16:55:00,,0,0.02,0.02,
EDM000229,Viana do Castelo,Vila Nova de Cerveira,Vila Nova de Cerveira,1999-01-05,13:40:00,1999-01-05,13:40:00,,0,0.3,0.3,
EDM000252,Viana do Castelo,Paredes de Coura,Linhares,1999-01-05,18:05:00,1999-01-05,18:05:00,,0.5,0,0.5,
EDM000254,Viana do Castelo,Melgaço,Cousso,1999-01-05,18:20:00,1999-01-05,18:20:00,,0,2,2,
EDM000258,Viana do Castelo,Paredes de Coura,Insalde,1999-01-05,20:00:00,1999-01-05,20:00:00,,0,8,8,
EDM000261,Viana do Castelo,Valença,Sanfins,1999-01-05,20:37:00,1999-01-05,20:37:00,,0,4,4,
EDM000263,Viana do Castelo,Vila Nova de Cerveira,Reboreda,1999-01-05,20:35:00,1999-01-05,20:35:00,,0,0.05,0.05,
EDM000265,Viana do Castelo,Arcos de Valdevez,Loureda,1999-01-05,21:10:00,1999-01-05,21:10:00,,0,2,2,
EDM000617,Braga,Barcelos,Feitos,1999-01-05,17:48:00,1999-01-05,19:00:00,,0,0.1,0.1,
EDM000802,Porto,Vila Nova de Gaia,Pedroso,1999-01-05,13:30:00,1999-01-05,14:15:00,,0.02,0,0.02,
RO0001,Santarém,Santarém,Alcanede,1999-01-05,16:45:00,1999-01-05,17:10:00,,0,0.01,0.01,
RO0825,Leiria,Peniche,Ajuda,1999-01-05,13:32:00,1999-01-05,14:20:00,,0,0.001,0.001,
RO1231,Santarém,Abrantes,São João,1999-01-05,14:05:00,1999-01-05,14:52:00,,0,0.1,0.1,
RO1232,Santarém,Abrantes,Souto,1999-01-05,14:56:00,1999-01-05,15:29:00,,0.01,0,0.01,
RO2911,Setúbal,Sesimbra,Castelo,1999-01-05,17:45:00,1999-01-05,18:55:00,,0,0.06,0.06,
RO2912,Setúbal,Sesimbra,Castelo,1999-01-05,23:05:00,1999-01-05,23:40:00,,0,0.05,0.05,
BI07000374,Guarda,Guarda,Maçainhas de Baixo,1999-01-06,15:50:00,1999-01-06,18:20:00,,0,0,0,
BL03000002,Aveiro,Estarreja,Beduído,1999-01-06,18:11:00,1999-01-06,20:02:00,,1.5,0,1.5,
BL03000004,Aveiro,Estarreja,Beduído,1999-01-06,08:09:00,1999-01-06,09:06:00,,0,0.02,0.02,
BL03000036,Viseu,Castro Daire,Cabril,1999-01-06,20:20:00,1999-01-06,00:15:00,,0,1.5,1.5,
BL0500005,Coimbra,Condeixa-a-Nova,Vila Seca,1999-01-06,16:20:00,1999-01-06,18:40:00,,0,2,2,
BL0500007,Coimbra,Soure,Soure,1999-01-06,13:30:00,1999-01-06,15:03:00,,0,1,1,
BL0500011,Leiria,Pombal,Carriço,1999-01-06,19:08:00,1999-01-06,20:10:00,,0.06,0,0.06,
BL0500013,Leiria,Pombal,São Simão de Litém,1999-01-06,18:51:00,1999-01-06,20:00:00,,0,0.05,0.05,
EDM000271,Viana do Castelo,Viana do Castelo,Montaria,1999-01-06,00:50:00,1999-01-06,00:50:00,,0,1,1,
EDM000288,Viana do Castelo,Caminha,Âncora,1999-01-06,11:00:00,1999-01-06,11:00:00,,1,0,1,
EDM000293,Braga,Guimarães,Ponte,1999-01-06,13:38:00,1999-01-06,15:15:00,,0,0.04,0.04,
EDM000298,Viana do Castelo,Melgaço,Paderne,1999-01-06,13:10:00,1999-01-06,13:10:00,,1,3,4,
EDM000299,Braga,Guimarães,Selho (São Jorge),1999-01-06,15:15:00,1999-01-06,16:20:00,,0,0.02,0.02,
EDM000299,Viana do Castelo,Monção,Pias,1999-01-06,13:30:00,1999-01-06,13:30:00,,0.75,0.8,1.55,
EDM000300,Viana do Castelo,Monção,Merufe,1999-01-06,13:48:00,1999-01-06,13:48:00,,2,2,4,
EDM000303,Viana do Castelo,Monção,Barroças e Taias,1999-01-06,14:00:00,1999-01-06,14:00:00,,1,0.5,1.5,
EDM000309,Viana do Castelo,Ponte de Lima,Cabração,1999-01-06,14:55:00,1999-01-06,14:55:00,,131,80,211,
EDM000314,Viana do Castelo,Monção,Barbeita,1999-01-06,15:55:00,1999-01-06,15:55:00,,0,0.02,0.02,
EDM000317,Aveiro,Espinho,Anta,1999-01-06,02:13:00,1999-01-06,04:00:00,,0,0.3,0.3,
EDM000318,Aveiro,Oliveira de Azeméis,Travanca,1999-01-06,06:40:00,1999-01-06,08:00:00,,0,0.15,0.15,
EDM000318,Viana do Castelo,Viana do Castelo,Castelo do Neiva,1999-01-06,16:40:00,1999-01-06,16:40:00,,0.05,0,0.05,
EDM000319,Aveiro,Santa Maria da Feira,Mosteiró,1999-01-06,07:15:00,1999-01-06,08:40:00,,0,0.02,0.02,
EDM000319,Viana do Castelo,Monção,Longos Vales,1999-01-06,16:45:00,1999-01-06,16:45:00,,0.1,0.2,0.3,
EDM000320,Aveiro,Castelo de Paiva,Real,1999-01-06,08:15:00,1999-01-06,08:55:00,,0,0.02,0.02,
EDM000320,Viana do Castelo,Viana do Castelo,Geraz do Lima (Santa Leocádia),1999-01-06,17:40:00,1999-01-06,17:40:00,,0,5,5,
EDM000322,Viana do Castelo,Viana do Castelo,Areosa,1999-01-06,17:40:00,1999-01-06,17:40:00,,0.5,0,0.5,
EDM000325,Viana do Castelo,Paredes de Coura,Ferreira,1999-01-06,18:00:00,1999-01-06,18:00:00,,0,0.15,0.15,
EDM000326,Viana do Castelo,Valença,Gondomil,1999-01-06,18:15:00,1999-01-06,18:15:00,,0,1,1,
EDM000327,Viana do Castelo,Paredes de Coura,Infesta,1999-01-06,18:30:00,1999-01-06,18:30:00,,0,0.03,0.03,
EDM000330,Viana do Castelo,Paredes de Coura,Insalde,1999-01-06,18:50:00,1999-01-06,18:50:00,,0,0.2,0.2,
EDM000331,Viana do Castelo,Valença,Sanfins,1999-01-06,19:05:00,1999-01-06,19:05:00,,0,2,2,
EDM000334,Viana do Castelo,Arcos de Valdevez,Sistelo,1999-01-06,20:00:00,1999-01-06,20:00:00,,3,2.5,5.5,
EDM000335,Viana do Castelo,Ponte da Barca,Cuide de Vila Verde,1999-01-06,20:05:00,1999-01-06,20:05:00,,0,4,4,
EDM000336,Viana do Castelo,Ponte da Barca,Azias,1999-01-06,21:00:00,1999-01-06,21:00:00,,1,1,2,
EDM000348,Aveiro,Arouca,Fermedo,1999-01-06,14:22:00,1999-01-06,18:30:00,,0,3,3,
EDM000360,Aveiro,Vale de Cambra,Macieira de Cambra,1999-01-06,16:40:00,1999-01-06,19:05:00,,0,0.1,0.1,
EDM000361,Aveiro,Castelo de Paiva,Sobrado,1999-01-06,17:35:00,1999-01-06,19:00:00,,0,1,1,
EDM000362,Porto,Amarante,Chapa,1999-01-06,13:45:00,1999-01-06,14:45:00,,0.02,0.01,0.03,
EDM000364,Aveiro,Oliveira de Azeméis,Cesar,1999-01-06,18:30:00,1999-01-06,19:15:00,,0,0.01,0.01,
EDM000384,Porto,Baião,Santa Marinha do Zêzere,1999-01-06,19:55:00,1999-01-06,20:30:00,,0,0.02,0.02,
EDM000691,Braga,Braga,Gualtar,1999-01-06,13:50:00,1999-01-06,15:15:00,,0,0.2,0.2,
EDM000733,Braga,Terras de Bouro,Souto,1999-01-06,18:10:00,1999-01-06,19:55:00,,0,1.5,1.5,
EDM000739,Braga,Amares,Caldelas,1999-01-06,18:55:00,1999-01-06,22:30:00,,0.1,1.9,2,
EDM000772,Braga,Amares,Goães,1999-01-06,23:09:00,1999-01-06,23:45:00,,0,0.05,0.05,
EDM000941,Porto,Santo Tirso,Rebordões,1999-01-06,06:00:00,1999-01-06,06:25:00,,0,0.05,0.05,
EDM001009,Porto,Vila Nova de Gaia,Madalena,1999-01-06,13:40:00,1999-01-06,15:20:00,,0,0.1,0.1,
EDM001019,Porto,Gondomar,Valbom,1999-01-06,14:30:00,1999-01-06,15:50:00,,0,0.05,0.05,
EDM001027,Porto,Vila Nova de Gaia,Canidelo,1999-01-06,15:20:00,1999-01-06,16:40:00,,0,0.02,0.02,
EDM001047,Porto,Santo Tirso,Couto (Santa Cristina),1999-01-06,17:10:00,1999-01-06,18:00:00,,0,0.15,0.15,
RO0826,Leiria,Nazaré,Nazaré,1999-01-06,09:00:00,1999-01-06,10:30:00,,0,0.01,0.01,
RO0827,Leiria,Alcobaça,Vimeiro,1999-01-06,12:00:00,1999-01-06,13:15:00,,0.01,0,0.01,
RO0828,Leiria,Alcobaça,São Martinho do Porto,1999-01-06,12:15:00,1999-01-06,13:15:00,,0,0.01,0.01,
RO0829,Leiria,Alcobaça,Cos,1999-01-06,15:20:00,1999-01-06,16:20:00,,0.015,0,0.015,
RO0830,Leiria,Óbidos,Olho Marinho,1999-01-06,16:20:00,1999-01-06,17:15:00,,0,0.12,0.12,
RO1233,Santarém,Ourém,Nossa Senhora da Piedade,1999-01-06,15:57:00,1999-01-06,16:37:00,,0,0.01,0.01,
RO2549,Lisboa,Cascais,São Domingos de Rana,1999-01-06,15:20:00,1999-01-06,15:40:00,,0,0.005,0.005,
RO2913,Setúbal,Seixal,Fernão Ferro,1999-01-06,14:07:00,1999-01-06,15:55:00,,0,0.005,0.005,
RO2914,Setúbal,Almada,Cova da Piedade,1999-01-06,14:45:00,1999-01-06,16:55:00,,0,0.03,0.03,
TM000003,Vila Real,Santa Marta de Penaguião,Fornelos,1999-01-06,15:00:00,1999-01-06,15:45:00,,0,0.01,0.01,DES
TM000004,Bragança,Torre de Moncorvo,Maçores,1999-01-06,16:43:00,1999-01-06,18:00:00,,0,0.05,0.05,DES
AG    2-99,Faro,Aljezur,Rogil,1999-01-07,15:31:00,1999-01-07,17:45:00,,1,0,1,
BI07000437,Guarda,Manteigas,São Pedro,1999-01-07,17:25:00,1999-01-07,18:40:00,,0,0,0,
BI07000445,Guarda,Mêda,Casteicão,1999-01-07,18:51:00,1999-01-07,19:25:00,,0,0,0,
BL03000036,Viseu,Castro Daire,Cabril,1999-01-07,20:40:00,1999-01-07,23:05:00,S,0,0.01,0.01,REAC
BL03000040,Viseu,Viseu,Campo,1999-01-07,20:35:00,1999-01-07,21:05:00,,0,0.01,0.01,
BL03000042,Viseu,Vila Nova de Paiva,Touro,1999-01-07,19:03:00,1999-01-07,20:00:00,,0,0.01,0.01,
EDM000407,Aveiro,São João da Madeira,São João da Madeira,1999-01-07,12:28:00,1999-01-07,13:10:00,,0,0.02,0.02,
EDM000414,Aveiro,Santa Maria da Feira,Lourosa,1999-01-07,13:40:00,1999-01-07,14:15:00,,0,0.05,0.05,
EDM000432,Aveiro,Arouca,Escariz,1999-01-07,18:18:00,1999-01-07,19:35:00,,0.05,0,0.05,
EDM000829,Braga,Barcelos,Vila Frescaínha (São Pedro),1999-01-07,13:29:00,1999-01-07,17:00:00,,0,0.5,0.5,
RO0831,Leiria,Caldas da Rainha,Vidais,1999-01-07,15:06:00,1999-01-07,16:05:00,,0,0.002,0.002,
RO0832,Leiria,Caldas da Rainha,Nadadouro,1999-01-07,17:24:00,1999-01-07,18:10:00,,0,1,1,
RO2021,Lisboa,Torres Vedras,Maxial,1999-01-07,14:55:00,1999-01-07,17:30:00,,0,1,1,
EDM000489,Aveiro,Arouca,Santa Eulália,1999-01-08,15:10:00,1999-01-08,16:45:00,,0,0.2,0.2,
RO2550,Lisboa,Sintra,São João das Lampas,1999-01-08,14:15:00,1999-01-08,16:15:00,,0,1,1,
AG    3-99,Faro,Monchique,Monchique,1999-01-09,12:04:00,1999-01-09,13:01:00,,0.01,0,0.01,
AG    4-99,Faro,Tavira,Santa Maria,1999-01-10,11:58:00,1999-01-10,14:30:00,,1,0,1,
RO2022,Lisboa,Loures,Santa Iria da Azóia,1999-01-10,16:56:00,1999-01-10,20:35:00,,0,0.01,0.01,
TM000007,Vila Real,Alijó,Alijó,1999-01-10,14:45:00,1999-01-10,15:37:00,,0,0.02,0.02,DES
BL0500001,Coimbra,Figueira da Foz,Bom Sucesso,1999-01-11,20:20:00,1999-01-11,22:05:00,,0,0.01,0.01,
RO2915,Setúbal,Almada,Charneca da Caparica,1999-01-11,22:37:00,1999-01-11,23:57:00,,0,0.001,0.001,
BL03000046,Viseu,Mortágua,Almaça,1999-01-12,14:12:00,1999-01-12,15:30:00,,0,0.01,0.01,
EDM000667,Viana do Castelo,Viana do Castelo,Montaria,1999-01-12,18:45:00,1999-01-12,18:45:00,,0,0.5,0.5,
TM000009,Vila Real,Vila Real,Torgueda,1999-01-12,17:34:00,1999-01-12,18:10:00,,0,0.01,0.01,DES
BL03000874,Guarda,Aguiar da Beira,Aguiar da Beira,1999-01-13,14:05:00,1999-01-13,15:06:00,,0,0.5,0.5,
EDM002346,Porto,Vila Nova de Gaia,Sermonde,1999-01-13,15:00:00,1999-01-13,15:45:00,,0,0.02,0.02,
RO0002,Santarém,Santarém,Marvila,1999-01-13,18:48:00,1999-01-13,19:30:00,,0,0,0,
RO1234,Santarém,Ourém,Freixianda,1999-01-13,13:39:00,1999-01-13,15:00:00,,0,2,2,
