ano,codigo_sgif,observ,concelho,freguesia,data_inicio,hora_inicio,data_fim,hora_fim,area_arborizada,area_nao_arborizada,area_total,causa
1992,,,SILVES,ALCANTARILHA,1992-10-14,13:16,1992-10-14,14:17,0,0.9,0.9,12
1992,,,SILVES,SÃO BARTOLOMEU DE MESSINES,1992-10-14,15:38,1992-10-14,16:18,0,0.5,0.5,12
1992,,,OLHÃO,PECHÃO,1992-10-14,16:40,1992-10-14,18:25,0,0.5,0.5,12
1992,,,SÃO BRAS DE ALPORTEL,SÃO BRAS DE ALPORTEL,1992-10-14,11:59,1992-10-14,16:16,0,0.8,0.8,12
1992,,,LOULE,OUTRAS,1992-10-14,17:06,1992-10-14,20:17,0,1,1,12
1992,,,SÃO BRAS DE ALPORTEL,SÃO BRAS DE ALPORTEL,1992-10-14,18:00,1992-10-14,18:45,0,0.5,0.5,12
1992,,,SESIMBRA,SESIMBRA (CASTELO),1992-10-14,17:00,1992-10-14,18:00,0,0.01,0.01,13
1992,,,ALJEZUR,BORDEIRA,1992-10-13,15:00,1992-10-13,16:13,0,0.05,0.05,12
1992,,,PORTIMÃO,ALVOR,1992-10-13,21:45,1992-10-13,22:51,0.1,0,0.1,12
1992,,,LAGOA,LAGOA,1992-10-13,16:45,1992-10-13,17:30,0,0.1,0.1,12
1992,,,LOULE,SALIR,1992-10-13,15:31,1992-10-13,16:34,0,0.15,0.15,12
1992,,,FARO,ESTOI,1992-10-13,15:21,1992-10-13,16:05,0,1,1,12
1992,,,PORTIMÃO,MEXILHOEIRA GRANDE,1992-10-12,13:52,1992-10-12,15:14,0,0.05,0.05,12
1992,,,VILA DO BISPO,VILA DO BISPO,1992-10-12,18:00,1992-10-12,20:09,0,1,1,12
1992,,,TAVIRA,LUZ,1992-10-11,11:41,1992-10-11,12:40,0,0.2,0.2,12
1992,,,LOULE,SALIR,1992-10-11,15:19,1992-10-11,20:30,2,0,2,12
1992,,,ALBUFEIRA,GUIA,1992-10-11,20:22,1992-10-11,20:57,0,0.2,0.2,12
1992,,,FARO,FARO (SE),1992-10-11,19:25,1992-10-11,20:20,0,0.03,0.03,12
1992,,,VISEU,VIL DE SOUTO,1992-10-11,23:55,1992-10-12,0:20,0,0.01,0.01,12
1992,,,SANTIAGO DO CACEM,SANTA CRUZ,1992-10-11,16:55,1992-10-11,18:10,0,0.01,0.01,13
1992,,,OURIQUE,OUTRAS,1992-10-11,16:30,1992-10-11,19:45,0,5,5,13
1992,,,LAGOA,LAGOA,1992-10-10,12:53,1992-10-10,14:30,0,0.2,0.2,12
1992,,,OLHÃO,MONCARAPACHO,1992-10-10,15:59,1992-10-10,19:20,0.01,1,1.01,12
1992,,,LOULE,ALMANSIL,1992-10-10,18:34,1992-10-10,19:33,0,0.05,0.05,12
1992,,,LOULE,QUERENÇA,1992-10-10,15:40,1992-10-10,17:57,0,0.05,0.05,12
1992,,,SETUBAL,OUTRAS,1992-10-10,13:15,1992-10-10,15:45,1,0,1,13
1992,,,VILA REAL ST ANTONIO,VILA REAL DE STO ANTONIO,1992-10-09,12:52,1992-10-09,13:22,0,0.02,0.02,12
1992,,,SILVES,SILVES,1992-10-09,12:35,1992-10-09,12:14,0,0.05,0.05,12
1992,,,ALJEZUR,BORDEIRA,1992-10-09,14:45,1992-10-09,20:50,451.8,16.75,468.55,12
1992,,,VISEU,SÃO JOÃO DE LOUROSA,1992-10-09,18:50,1992-10-09,20:00,0,0.01,0.01,12
1992,,,TAVIRA,TAVIRA (SANTIAGO),1992-10-08,12:16,1992-10-08,13:59,0,0.01,0.01,12
1992,,,CASTRO MARIM,CASTRO MARIM,1992-10-08,19:49,1992-10-08,22:12,0,1,1,12
1992,,,LAGOS,LAGOS (SANTA MARIA),1992-10-08,11:23,1992-10-08,12:50,0,0.4,0.4,12
1992,,,FARO,ESTOI,1992-10-08,11:22,1992-10-08,12:10,0,0.02,0.02,12
1992,,,SILVES,SÃO BARTOLOMEU DE MESSINES,1992-10-08,14:56,1992-10-08,17:05,0.2,0,0.2,12
1992,,,VALPAÇOS,CANAVEZES,1992-10-08,18:45,1992-10-08,20:20,0,2,2,12
1992,,,ALIJO,SANTA EUGENIA,1992-10-08,15:00,1992-10-08,16:15,0.6,0,0.6,12
1992,,,NISA,AMIEIRA DO TEJO,1992-10-08,14:25,1992-10-08,17:15,0,0.01,0.01,12
1992,,,VILA FLOR,VILARINHO DAS AZENHAS,1992-10-07,21:10,1992-10-07,23:00,0,0.5,0.5,12
1992,,,BOTICAS,CODESSOSO,1992-10-07,20:30,1992-10-08,0:30,13,0,13,12
1992,,,CARRAZEDA DE ANSIÃES,CARRAZEDA DE ANSIÃES,1992-10-07,13:00,1992-10-07,15:00,0,1,1,12
1992,,,TAVIRA,TAVIRA (SANTA MARIA),1992-10-07,17:13,1992-10-07,18:40,0,0.2,0.2,12
1992,,,MIRANDELA,PASSOS,1992-10-07,11:00,1992-10-07,14:30,0,3.5,3.5,12
