ano,codigo_sgif,observ,concelho,freguesia,data_inicio,hora_inicio,data_fim,hora_fim,area_arborizada,area_nao_arborizada,area_total,causa
1983,,,MONÇÃO,LUZIO,1983-12-30,19:45,1983-12-30,21:05,0.7,0,0.7,10
1983,,,MONÇÃO,LUZIO,1983-12-29,19:45,1983-12-29,22:15,0.5,0,0.5,10
1983,,,MONÇÃO,ANH@ES,1983-12-29,17:18,1983-12-29,17:42,0,0.1,0.1,10
1983,,,ARCOS DE VALDEVEZ,SISTELO,1983-12-29,11:28,1983-12-29,12:30,0,0.1,0.1,10
1983,,,MONÇÃO,LUZIO,1983-12-27,8:30,1983-12-27,10:00,1.1,0,1.1,10
1983,,,MONÇÃO,ABEDIM,1983-12-27,9:30,1983-12-27,12:00,0,10,10,10
1983,,,MONÇÃO,MERUFE,1983-12-27,17:29,1983-12-27,18:40,0,0.1,0.1,10
1983,,,MONÇÃO,ANH@ES,1983-12-27,18:00,1983-12-27,20:30,0,0.4,0.4,10
1983,,,ARCOS DE VALDEVEZ,OUTRAS,1983-12-27,15:30,1983-12-27,15:45,0,0.1,0.1,10
1983,,,POMBAL,POMBAL,1983-12-25,23:30,1983-12-26,0:30,0.1,0,0.1,12
1983,,,MONÇÃO,LORDELO,1983-12-25,10:00,1983-12-25,24:00,85.5,0,85.5,10
1983,,,ARCOS DE VALDEVEZ,SISTELO,1983-12-07,17:40,1983-12-07,18:45,0.1,0.4,0.5,1
1983,,,CABECEIRAS DE BASTO,OUTRAS,1983-12-06,16:00,1983-12-06,19:00,10,0,10,10
1983,,,POMBAL,ABIUL,1983-12-05,17:00,1983-12-05,18:10,0.1,0,0.1,12
1983,,,POMBAL,CARNIDE,1983-11-07,12:15,1983-11-07,13:15,0.1,0,0.1,12
1983,,,MARCO DE CANAVEZES,ALPENDURADA E MATOS,1983-11-02,6:30,1983-11-02,9:00,0.3,0,0.3,10
1983,,,POMBAL,POMBAL,1983-11-01,13:30,1983-11-01,19:40,0.6,0,0.6,12
1983,,,VILA POUCA DE AGUIAR,BORNES DE AGUIAR,1983-10-31,12:05,1983-10-31,13:20,0.1,0,0.1,12
1983,,,FELGUEIRAS,MACIEIRA DA LIXA,1983-10-31,14:10,1983-10-31,14:50,0,0.2,0.2,10
1983,,,AMARANTE,CANADELO,1983-10-30,10:00,1983-10-30,12:30,0,1,1,12
1983,,,PAREDES,CETE,1983-10-30,15:00,1983-10-30,16:30,0,2,2,12
1983,,,POVOA DE LANHOSO,N SENHORA DO AMPARO-P LANHOSO,1983-10-30,13:45,1983-10-30,14:15,8.5,0,8.5,1
1983,,,VALONGO,VALONGO,1983-10-30,16:30,1983-10-30,17:00,0,0.1,0.1,12
1983,,,VALONGO,VALONGO,1983-10-30,16:00,1983-10-30,16:40,0,0.1,0.1,12
1983,,,PAREDES,RECAREI,1983-10-30,10:15,1983-10-30,12:00,0,2,2,12
1983,,,PAREDES,AGUIAR DE SOUSA,1983-10-30,10:00,1983-10-30,16:30,0,2,2,12
1983,,,GONDOMAR,RIO TINTO,1983-10-27,9:30,1983-10-27,10:10,0.5,0,0.5,12
1983,,,LOUSÃ,LOUSÃ,1983-10-26,21:30,1983-10-26,23:00,0,0.2,0.2,10
1983,,,LOUSÃ,LOUSÃ,1983-10-26,1:00,1983-10-26,2:20,0.1,0.1,0.2,10
1983,,,VALONGO,ERMESINDE,1983-10-26,15:00,1983-10-26,15:30,0,0.1,0.1,12
1983,,,MURÇA,VALONGO DE MILHAIS,1983-10-26,12:20,1983-10-26,14:50,2,0,2,10
1983,,,NAZARE,VALADO DOS FRADES,1983-10-26,11:00,1983-10-26,21:00,16.6,0,16.6,10
1983,,,GONDOMAR,SÃO PEDRO DA COVA,1983-10-26,9:20,1983-10-26,12:00,2,0,2,12
1983,,,ALCOBAÇA,ALCOBAÇA,1983-10-26,13:00,1983-10-26,19:00,7.5,3.5,11,10
1983,,,GONDOMAR,MELRES,1983-10-26,20:50,1983-10-26,21:20,0.1,0,0.1,12
1983,,,FIGUEIRO DOS VINHOS,FIGUEIRO DOS VINHOS,1983-10-25,18:55,1983-10-25,19:25,0,0.1,0.1,1
1983,,,CARREGAL DO SAL,OLIVEIRA DO CONDE,1983-10-25,16:00,1983-10-25,17:10,0,1,1,1
1983,,,PENAFIEL,CANELAS,1983-10-25,18:30,1983-10-25,20:15,0.1,0,0.1,1
1983,,,MONÇAO,OUTRAS,1983-10-25,16:30,1983-10-25,17:00,0.1,0,0.1,10
1983,,,COVILHÃ,COVILHÃ (SÃO MARTINHO),1983-10-25,17:00,1983-10-25,18:15,0,1,1,12
1983,,,SÃO PEDRO DO SUL,CARVALHAIS,1983-10-25,13:00,1983-10-25,15:00,0.3,0,0.3,12
1983,,,SERTÃ,PEDROGÃO PEQUENO,1983-10-24,14:10,1983-10-24,17:30,0.5,0,0.5,12
1983,,,NELAS,CANAS DE SENHORIM,1983-10-24,23:15,1983-10-25,0:45,0,0.1,0.1,1
1983,,,AMARANTE,GATÃO,1983-10-24,19:00,1983-10-24,20:30,0,0.5,0.5,12
1983,,,PORTALEGRE,ALEGRETE,1983-10-23,8:00,1983-10-23,16:00,2,0,2,1
1983,,,VISEU,VISEU (SÃO JOSE),1983-10-23,19:05,1983-10-23,19:40,0,0.3,0.3,12
1983,,,FARO,ESTOI,1983-10-23,10:00,1983-10-23,12:20,0,4,4,12
1983,,,MERTOLA,CORTE DO PINTO,1983-10-23,21:15,1983-10-24,0:35,2,0,2,1
1983,,,COVILHÃ,TORTOZENDO,1983-10-23,11:20,1983-10-23,12:45,0,0.5,0.5,12
1983,,,VALONGO,VALONGO,1983-10-23,13:45,1983-10-23,14:00,0,0.1,0.1,12
1983,,,MARCO DE CANAVEZES,TORRÃO,1983-10-23,13:40,1983-10-23,17:50,1,1,2,12
1983,,,VIMIOSO,VIMIOSO,1983-10-22,16:00,1983-10-22,17:40,1,2,3,12
1983,,,VIMIOSO,VIMIOSO,1983-10-22,14:30,1983-10-22,15:40,0,1,1,12
1983,,,CAMINHA,VILA PRAIA DE ANCORA,1983-10-22,17:00,1983-10-22,18:30,0.4,0,0.4,10
1983,,,VIMIOSO,VIMIOSO,1983-10-22,14:30,1983-10-22,15:40,2,0,2,12
1983,,,SERTÃ,SERTÃ,1983-10-22,15:50,1983-10-22,17:10,0.1,0,0.1,1
1983,,,SINES,SINES,1983-10-22,20:45,1983-10-22,21:20,0,1,1,1
1983,,,SEIA,SANTA EULALIA,1983-10-22,16:00,1983-10-22,21:05,0,45,45,12
1983,,,VIMIOSO,VIMIOSO,1983-10-22,18:00,1983-10-22,19:30,1,3,4,12
1983,,,SANTAREM,OUTRAS,1983-10-21,16:00,1983-10-22,0:30,4.3,0,4.3,12
1983,,,VILA POUCA DE AGUIAR,VREIA DE JALES,1983-10-21,13:32,1983-10-21,14:30,0,0.1,0.1,12
1983,,,LOUSÃ,FOZ DE AROUCE,1983-10-21,16:15,1983-10-21,17:30,0,0.1,0.1,10
1983,,,ESTREMOZ,ESTREMOZ (SANTA MARIA),1983-10-21,9:35,1983-10-21,11:00,0,0.5,0.5,1
1983,,,EVORA,OUTRAS,1983-10-21,16:00,1983-10-21,19:30,0,5,5,1
1983,,,COVILHÃ,OUTRAS,1983-10-21,13:15,1983-10-21,15:00,1,0,1,12
1983,,,VALONGO,ALFENA,1983-10-21,20:45,1983-10-21,21:50,0,0.1,0.1,12
1983,,,AROUCA,ALVARENGA,1983-10-20,17:00,1983-10-20,19:30,0.5,1,1.5,1
1983,,,CARREGAL DO SAL,PAPIZIOS,1983-10-20,18:00,1983-10-20,20:10,1,0,1,12
1983,,,SERTÃ,MARMELEIRO,1983-10-20,18:30,1983-10-20,19:50,0.1,0,0.1,1
1983,,,ALANDROAL,N SENH DA CONCEIÇÃO-ALANDROAL,1983-10-20,13:30,1983-10-20,17:30,10,0,10,12
1983,,,BAIÃO,GOVE,1983-10-20,15:00,1983-10-20,17:20,0.2,0,0.2,10
1983,,,SANTAREM,ACHETE,1983-10-20,15:15,1983-10-20,18:15,1.6,0,1.6,12
1983,,,COVILHÃ,ORJAIS,1983-10-20,20:30,1983-10-21,0:05,0.8,0,0.8,12
1983,,,RIO MAIOR,ALCOBERTAS,1983-10-20,5:00,1983-10-20,22:00,10,7.5,17.5,12
1983,,,VALPAÇOS,OUTRAS,1983-10-20,12:10,1983-10-20,13:35,0,1,1,12
1983,,,VALONGO,ERMESINDE,1983-10-20,21:10,1983-10-20,21:50,0,0.1,0.1,12
1983,,,COVILHÃ,DOMINGUIZO,1983-10-20,10:05,1983-10-20,16:45,3,0,3,12
1983,,,SEIA,SANTIAGO,1983-10-19,20:55,1983-10-19,22:00,0,1,1,12
1983,,,CORUCHE,COUÇO,1983-10-19,13:20,1983-10-19,15:00,0.6,0,0.6,12
1983,,,TABUA,TABUA,1983-10-18,18:45,1983-10-18,19:44,0,0.1,0.1,10
1983,,,ODEMIRA,S LUIS,1983-10-18,9:30,1983-10-18,10:30,0,1,1,1
1983,,,FIGUEIRO DOS VINHOS,AREGA,1983-10-18,10:55,1983-10-18,17:30,2,0,2,12
1983,,,ALENQUER,VENTOSA,1983-10-17,10:40,1983-10-17,14:00,0.1,0,0.1,10
1983,,,VALONGO,ERMESINDE,1983-10-17,15:30,1983-10-17,16:00,0,0.1,0.1,12
1983,,,COVILHÃ,COVILHÃ (CONCEIÇÃO),1983-10-17,14:00,1983-10-17,17:00,0,2,2,12
1983,,,ALTER DO CHÃO,CHANCELARIA,1983-10-17,15:40,1983-10-17,18:00,2.5,0,2.5,12
1983,,,SETUBAL,SÃO LOURENÇO,1983-10-17,3:25,1983-10-17,5:15,0.1,0,0.1,12
