ano,codigo_sgif,observ,concelho,freguesia,data_inicio,hora_inicio,data_fim,hora_fim,area_arborizada,area_nao_arborizada,area_total,causa
1982,,,MONDIM DE BASTO,PARDELHAS,1982-11-02,13:00,1982-11-02,16:00,3,0,3,12
1982,,,CORUCHE,CORUCHE,1982-10-31,17:20,1982-10-31,18:45,1,0,1,12
1982,,,MONTALEGRE,SALTO,1982-10-31,17:00,1982-10-31,19:00,1,0,1,12
1982,,,GRANDOLA,OUTRAS,1982-09-30,12:20,1982-09-30,14:40,0,0.6,0.6,12
1982,,,MONTEMOR-O-NOVO,OUTRAS,1982-09-30,16:00,1982-09-30,16:40,0,0.1,0.1,12
1982,,,MOURÃO,OUTRAS,1982-09-30,13:30,1982-09-30,16:30,0,1.5,1.5,12
1982,,,ALCOBAÇA,OUTRAS,1982-09-30,13:40,1982-09-30,14:40,1,0,1,12
1982,,,ESPOSENDE,OUTRAS,1982-09-29,10:15,1982-09-29,11:30,0,0.2,0.2,12
1982,,,PAREDES,OUTRAS,1982-09-28,14:30,1982-09-28,20:30,0,0.3,0.3,12
1982,,,MONTEMOR-O-NOVO,OUTRAS,1982-09-28,17:00,1982-09-28,19:20,0,1.5,1.5,12
1982,,,PONTE DE SOR,OUTRAS,1982-09-28,15:20,1982-09-28,17:20,0,0.5,0.5,12
1982,,,ALCOBAÇA,OUTRAS,1982-09-28,15:30,1982-09-28,16:30,0.5,0,0.5,12
1982,,,MONTIJO,OUTRAS,1982-09-28,16:40,1982-09-28,17:40,0,0.5,0.5,12
1982,,,ALCOBAÇA,OUTRAS,1982-09-27,12:30,1982-09-27,13:30,1,0,1,12
1982,,,SESIMBRA,OUTRAS,1982-09-27,15:30,1982-09-27,19:00,1.2,0,1.2,12
1982,,,MONÇÃO,ANH@ES,1982-09-27,17:35,1982-09-27,18:30,0.8,0,0.8,10
1982,,,PAREDES,OUTRAS,1982-09-26,16:00,1982-09-26,20:00,0,0.2,0.2,12
1982,,,MONDIM DE BASTO,OUTRAS,1982-09-26,10:00,1982-09-26,17:00,0,2,2,12
1982,,,SINTRA,OUTRAS,1982-09-26,18:20,1982-09-26,19:20,0,1,1,12
1982,,,MESÃO FRIO,OUTRAS,1982-09-26,15:40,1982-09-26,17:40,0,2,2,12
1982,,,FERREIRA DO ALENTEJO,OUTRAS,1982-09-24,10:10,1982-09-24,12:10,0,0.5,0.5,12
1982,,,MONTEMOR-O-NOVO,OUTRAS,1982-09-24,17:20,1982-09-24,20:20,0,3.8,3.8,12
1982,,,SERPA,OUTRAS,1982-09-23,14:30,1982-09-23,17:30,0,1.2,1.2,12
1982,,,SANTAREM,OUTRAS,1982-09-23,17:15,1982-09-23,21:30,0,5,5,12
1982,,,BOMBARRAL,OUTRAS,1982-09-23,16:30,1982-09-23,18:20,0.6,0,0.6,12
1982,,,PORTALEGRE,OUTRAS,1982-09-23,19:10,1982-09-23,20:10,0,0.1,0.1,12
1982,,,VISEU,OUTRAS,1982-09-23,14:15,1982-09-23,15:00,0.1,0,0.1,12
1982,,,PAREDES,OUTRAS,1982-09-22,14:00,1982-09-22,20:50,0,0.3,0.3,12
