codigo_sgif,distrito,concelho,freguesia,data_inicio,hora_inicio,data_fim,hora_fim,reacendimento,area_povoamento,area_mato,area_total,causa
BL0300020,Aveiro,Albergaria-a-Velha,Branca,1998-02-08,17:20:00,1998-02-08,18:21:00,,0,0.02,0.02,
DM01002839,Porto,Paços de Ferreira,Freamunde,1998-02-08,02:05:00,1998-02-08,02:54:00,,0,0.02,0.02,
DM01007233,Porto,Vila Nova de Gaia,Gulpilhares,1998-02-08,15:45:00,1998-02-08,16:15:00,,0,0.01,0.01,
DM02001928,Braga,Guimarães,Selho (São Jorge),1998-02-08,02:15:00,1998-02-08,03:20:00,,0,0.05,0.05,
DM02001946,Braga,Fafe,Arões (São Romão),1998-02-08,12:30:00,1998-02-08,13:20:00,,0,0.08,0.08,
DM02001948,Braga,Guimarães,Sande (Vila Nova),1998-02-08,14:05:00,1998-02-08,14:45:00,,0,1,1,
DM02001962,Braga,Fafe,Várzea Cova,1998-02-08,17:30:00,1998-02-08,20:00:00,,2,0,2,
DM02001970,Braga,Póvoa de Lanhoso,Serzedelo,1998-02-08,18:55:00,1998-02-08,19:40:00,,0,0.5,0.5,
DM02001971,Braga,Guimarães,Selho (São Jorge),1998-02-08,19:10:00,1998-02-08,19:45:00,,0,0.05,0.05,
DM02004394,Braga,Terras de Bouro,Carvalheira,1998-02-08,17:32:00,1998-02-08,19:10:00,,1,0,1,
DM02004403,Braga,Vila Nova de Famalicão,Oliveira (Sta Maria),1998-02-08,18:50:00,1998-02-08,19:25:00,,0,0.05,0.05,
DM03001659,Viana do Castelo,Viana do Castelo,Perre,1998-02-08,06:00:00,1998-02-08,07:45:00,,1,0,1,
DM03001682,Viana do Castelo,Vila Nova de Cerveira,Gondar,1998-02-08,15:25:00,1998-02-08,16:40:00,,0,0.3,0.3,
DM04001287,Viseu,Cinfães,São Cristovão de Nogueira,1998-02-08,15:27:00,1998-02-08,16:00:00,,0,0.25,0.25,
DM04001291,Viseu,Cinfães,Nespereira,1998-02-08,17:06:00,1998-02-08,18:10:00,,0.02,0,0.02,
RO0004,Lisboa,Cascais,Alcabideche,1998-02-08,13:25:00,1998-02-08,14:20:00,,0,0.001,0.001,
TM00004,Vila Real,Vila Real,Lordelo,1998-02-08,17:05:00,1998-02-08,17:25:00,,0,0.01,0.01,DES
BI0701463,Guarda,Celorico da Beira,Vale de Azares,1998-02-09,18:26:00,1998-02-09,22:15:00,,0,2,2,
BL0500261,Leiria,Alvaiázere,Maçãs de Caminho,1998-02-09,15:38:00,1998-02-09,17:30:00,,1,0,1,
DM01003010,Porto,Paredes,Mouriz,1998-02-09,20:15:00,1998-02-09,20:50:00,,0,0.03,0.03,
DM02001991,Braga,Fafe,Armil,1998-02-09,00:25:00,1998-02-09,01:00:00,,0.02,0,0.02,
DM02001993,Braga,Vieira do Minho,Tabuaças,1998-02-09,00:50:00,1998-02-09,01:50:00,,0,0.01,0.01,
DM02002020,Braga,Guimarães,Caldas de Vizela (São João),1998-02-09,16:45:00,1998-02-09,17:20:00,,0,0.2,0.2,
DM02002031,Braga,Póvoa de Lanhoso,Calvos,1998-02-09,19:25:00,1998-02-09,20:45:00,,0,0.5,0.5,
DM02002035,Braga,Póvoa de Lanhoso,Serzedelo,1998-02-09,20:45:00,1998-02-09,21:20:00,,0,2,2,
DM02002037,Braga,Guimarães,Sande (São Lourenço),1998-02-09,21:25:00,1998-02-09,21:55:00,,0,0.02,0.02,
DM02002039,Braga,Póvoa de Lanhoso,Taíde,1998-02-09,22:15:00,1998-02-09,23:00:00,,0,0.02,0.02,
DM02004486,Braga,Braga,Braga (São Viítor),1998-02-09,14:40:00,1998-02-09,16:30:00,,0,0.3,0.3,
DM02004543,Braga,Terras de Bouro,Chorense,1998-02-09,21:40:00,1998-02-09,23:35:00,,0,2,2,
DM02004549,Braga,Amares,Portela,1998-02-09,22:45:00,1998-02-10,00:25:00,,2,0,2,
DM02004554,Braga,Terras de Bouro,Cibões,1998-02-09,23:35:00,1998-02-10,00:15:00,,0,0.5,0.5,
DM03001735,Viana do Castelo,Ponte de Lima,Arca,1998-02-09,16:20:00,1998-02-09,17:30:00,,0,0.2,0.2,
DM03001747,Viana do Castelo,Viana do Castelo,Outeiro,1998-02-09,20:15:00,1998-02-09,22:15:00,,0.5,0,0.5,
RO0002,Leiria,Caldas da Rainha,Santa Catarina,1998-02-09,18:36:00,1998-02-09,19:36:00,,0,0.001,0.001,
RO2144,Setúbal,Palmela,Quinta do Anjo,1998-02-09,00:35:00,1998-02-09,01:00:00,,0.001,0,0.001,
TM00006,Vila Real,Mesão Frio,Vila Marim,1998-02-09,21:30:00,1998-02-10,02:30:00,,0,0.5,0.5,DES
BI0701485,Guarda,Seia,Sabugueiro,1998-02-10,11:06:00,1998-02-10,12:00:00,,0,0.001,0.001,
DM01003043,Porto,Paços de Ferreira,Lamoso,1998-02-10,10:45:00,1998-02-10,11:14:00,,0,0.05,0.05,
DM01003079,Porto,Lousada,Silvares,1998-02-10,16:25:00,1998-02-10,17:00:00,,0,0.05,0.05,
DM01003081,Porto,Felgueiras,Macieira da Lixa,1998-02-10,16:50:00,1998-02-10,17:50:00,,0,0.8,0.8,
DM01003091,Porto,Paredes,Madalena,1998-02-10,18:55:00,1998-02-10,20:10:00,,0,0.18,0.18,
DM01007617,Porto,Vila do Conde,Aveleda,1998-02-10,13:25:00,1998-02-10,14:25:00,,0,0.1,0.1,
DM02002062,Braga,Fafe,Quinchães,1998-02-10,11:35:00,1998-02-10,12:05:00,,0,0.01,0.01,
DM02002079,Braga,Guimarães,Moreira de Cónegos,1998-02-10,16:40:00,1998-02-10,17:10:00,,0,0.1,0.1,
DM02002086,Braga,Guimarães,Moreira de Cónegos,1998-02-10,17:45:00,1998-02-10,18:15:00,,0,0.05,0.05,
DM02002088,Braga,Guimarães,São Torcato,1998-02-10,19:58:00,1998-02-10,20:50:00,,0,0.1,0.1,
DM02002090,Braga,Vieira do Minho,Ruivães,1998-02-10,20:15:00,1998-02-10,21:00:00,,0,0.05,0.05,
DM02002097,Braga,Vieira do Minho,Mosteiro,1998-02-10,22:05:00,1998-02-10,23:05:00,,0.05,0,0.05,
DM02004626,Braga,Braga,Tebosa,1998-02-10,15:35:00,1998-02-10,18:10:00,,0,0.35,0.35,
DM03001785,Viana do Castelo,Vila Nova de Cerveira,Sopo,1998-02-10,19:10:00,1998-02-10,20:10:00,,0,0.04,0.04,
DM05002142,Aveiro,Oliveira de Azeméis,Macieira de Sarnes,1998-02-10,17:45:00,1998-02-10,19:30:00,,0,0.3,0.3,
DM05002151,Aveiro,Espinho,Guetim,1998-02-10,19:15:00,1998-02-10,20:00:00,,0,0.01,0.01,
RO2145,Setúbal,Almada,Caparica,1998-02-10,21:55:00,1998-02-10,22:25:00,,0,0.002,0.002,
TM00008,Vila Real,Alijó,Sanfins do Douro,1998-02-10,15:39:00,1998-02-10,16:33:00,,0,0.03,0.03,DES
TM00589,Viseu,Lamego,Bigorne,1998-02-10,16:48:00,1998-02-10,18:27:00,,0,1.5,1.5,DES
TM00591,Viseu,Tarouca,Várzea da Serra,1998-02-10,17:50:00,1998-02-10,19:50:00,,0,1,1,DES
TM00601,Viseu,Lamego,Penude,1998-02-10,18:51:00,1998-02-10,19:50:00,,0,0.5,0.5,DES
TM00620,Viseu,Lamego,Penude,1998-02-10,22:42:00,1998-02-11,00:30:00,,0,1,1,DES
TM04821,Vila Real,Montalegre,Salto,1998-02-10,13:00:00,1998-02-10,15:30:00,,0,0.8,0.8,DES
AT0002,Portalegre,Campo Maior,Espectação,1998-02-11,12:00:00,1998-02-11,12:45:00,,0,0.001,0.001,
BL0300022,Aveiro,Estarreja,Beduído,1998-02-11,18:19:00,1998-02-11,20:05:00,,0,0.5,0.5,
BL0300024,Aveiro,Anadia,Moita,1998-02-11,15:05:00,1998-02-11,16:01:00,,0,0.04,0.04,
BL0500005,Coimbra,Coimbra,Torres do Mondego,1998-02-11,05:23:00,1998-02-11,06:24:00,,0.01,0,0.01,
BL0500007,Coimbra,Mira,Mira,1998-02-11,17:20:00,1998-02-11,17:35:00,,0,0.01,0.01,
BL0500009,Coimbra,Lousã,Lousã,1998-02-11,19:33:00,1998-02-11,20:55:00,,0.35,0,0.35,INT
DM01003143,Porto,Felgueiras,Sendim,1998-02-11,13:05:00,1998-02-11,15:00:00,,0,0.3,0.3,
DM01003147,Porto,Paredes,Recarei,1998-02-11,13:20:00,1998-02-11,14:30:00,,0,0.1,0.1,
DM01007937,Porto,Valongo,Valongo,1998-02-11,20:40:00,1998-02-11,21:00:00,,0,0.01,0.01,
DM02002121,Braga,Fafe,Passos,1998-02-11,13:15:00,1998-02-11,14:30:00,,0.05,0,0.05,
DM02002123,Braga,Celorico de Basto,Caçarilhe,1998-02-11,14:30:00,1998-02-11,15:20:00,,0.02,0,0.02,
DM02002135,Braga,Fafe,Várzea Cova,1998-02-11,17:40:00,1998-02-11,20:15:00,,0,0.3,0.3,
DM02002138,Braga,Fafe,Várzea Cova,1998-02-11,18:25:00,1998-02-11,21:25:00,,0,1,1,
DM02004712,Braga,Terras de Bouro,Vilar da Veiga,1998-02-11,12:55:00,1998-02-11,16:00:00,,0,1,1,
DM02004714,Braga,Barcelos,Cambeses,1998-02-11,13:10:00,1998-02-11,14:20:00,,0,0.3,0.3,
DM02004729,Braga,Vila Verde,Sande,1998-02-11,14:38:00,1998-02-11,15:40:00,,0.05,0.05,0.1,
