REGISTO,OBSER,CONCELHO,FREGUESIA,DATAINICIO,HORAINI,MINUTINI,DATAFIM,HORAFIM,MINUFIM,CAUSA,A_ARBORIZA,A_N_ARBORI,TOTAL
BL0068,,P.SERRA,P.FOJO,1993/04/01,15,10,1993/04/01,21,0,DES,3,3,6
BL0069,,P.SERRA,P.SERRA,1993/04/09,12,10,1993/04/09,18,0,DES,0.5,0.5,1
BL0070,,P.SERRA,J.BAIXO,1993/04/07,14,20,1993/04/07,19,50,DES,1,0,1
BL0071,,PENELA,S.MIGUEL,1993/04/19,21,10,1993/04/19,21,40,DES,0,0.05,0.05
BL0072,,PENELA,ESPINHAL,1993/03/10,14,45,1993/03/10,15,30,DES,0,0.01,0.01
BL0073,,PENACOVA,PENACOVA,1993/03/02,14,0,1993/03/02,15,55,DES,0,0.02,0.02
BL0074,,PENACOVA,PENACOVA,1993/03/16,14,20,1993/03/16,15,30,DES,0,0.5,0.5
BL0074,,PENACOVA,PENACOVA,1993/03/16,17,0,1993/03/16,18,5,DES,0,0.05,0.05
BL0075,,POMBAL,A.DOZE,1993/03/03,19,40,1993/03/03,20,55,DES,0,0.15,0.15
BL0076,,PENACOVA,PENACOVA,1993/03/17,13,40,1993/03/17,15,25,DES,0,0.35,0.35
BL0077,,PENACOVA,PENACOVA,1993/03/25,23,10,1993/03/25,23,49,DES,0.075,0,0.075
BL0078,,PENACOVA,PENACOVA,1993/04/05,17,49,1993/04/05,19,25,DES,0,0.8,0.8
BL0079,,PENACOVA,PENACOVA,1993/05/16,16,0,1993/05/16,17,10,DES,0,0.5,0.5
BL0080,,PENACOVA,LORVAO,1993/03/01,19,16,1993/03/01,21,15,DES,0.5,0,0.5
BL0081,,PENACOVA,LORVAO,1993/04/08,23,16,1993/04/09,0,45,DES,0,0.015,0.015
BL0082,,PENACOVA,S.P.MONDEGO,1993/03/09,15,40,1993/03/09,18,35,DES,0.1,0.1,0.2
BL0083,,PENACOVA,S.LORVAO,1993/04/09,15,30,1993/04/09,16,26,DES,0.02,0,0.02
BL0084,,POIARES,ARRIFANA,1993/04/16,16,15,1993/04/16,17,30,DES,0.5,0,0.5
BL0085,,TABUA,MOURONHO,1993/03/16,12,35,1993/03/16,14,0,DES,0.5,0,0.5
BL0086,,TABUA,MIDOES,1993/04/18,20,56,1993/04/18,21,30,DES,0,0.01,0.01
BL0087,,TABUA,P.COJA,1993/03/06,20,20,1993/03/06,21,50,DES,0.5,0,0.5
BL0088,,TABUA,P.COJA,1993/03/24,17,35,1993/03/24,22,0,DES,0.5,0.5,1
BL0089,,TABUA,CANDOSA,1993/04/10,2,24,1993/04/10,3,0,DES,0,0.01,0.01
BL0090,,SOURE,GESTEIRA,1993/03/10,11,33,1993/03/10,13,0,DES,3,0,3
BL0091,,SOURE,SOURE,1993/03/10,15,17,1993/03/10,16,15,DES,0,0.04,0.04
BL0092,,SOURE,SOURE,1993/03/30,16,55,1993/03/30,18,20,DES,0,0.5,0.5
BL0093,,SOURE,V.N.ANÇOS,1993/03/28,14,12,1993/03/28,16,35,DES,0.3,0,0.3
BL0094,,SOURE,F.CAMPO,1993/04/07,17,45,1993/04/07,19,15,DES,0,1,1
BL0095,,SOURE,SOURE,1993/05/15,16,7,1993/05/15,16,45,DES,0,0.2,0.2
BL0096,,S.VOUGA,S.ESCURA,1993/03/08,16,5,1993/03/08,17,20,DES,0,0.3,0.3
BL0096,,S.VOUGA,S.ESCURA,1993/03/09,18,50,1993/03/09,19,15,DES,0,0.05,0.05
BL0097,,S.VOUGA,R.VOUGA,1993/03/25,16,40,1993/03/25,17,40,DES,0,0.3,0.3
BL0098,,S.VOUGA,DORNELAS,1993/04/18,19,45,1993/04/18,20,45,DES,0.01,0,0.01
BL0099,,S.VOUGA,R.VOUGA,1993/03/16,16,35,1993/03/16,17,30,DES,0.1,0,0.1
BL0100,,S.VOUGA,S.ESCURA,1993/03/31,15,30,1993/03/31,16,20,DES,0,0.35,0.35
BL0101,,S.VOUGA,TALHADAS,1993/04/19,18,50,1993/04/19,19,40,DES,0,0.05,0.05
BL0102,,S.VOUGA,S.VOUGA,1993/03/16,14,30,1993/03/16,14,40,DES,0,0.02,0.02
BL0103,,S.VOUGA,P.VOUGA,1993/03/05,3,45,1993/03/05,6,0,DES,0,0.03,0.03
BL0104,,S.VOUGA,S.ESCURA,1993/03/19,14,0,1993/03/19,15,45,DES,0.5,0,0.5
BL0105,,ILHAVO,S.SALVADOR,1993/04/07,20,20,1993/04/07,20,30,DES,0,0.01,0.01
BL0106,,ILHAVO,G.ENCARNAÇÄO,1993/03/11,10,1,1993/03/11,15,45,DES,0,0.015,0.015
BL0107,,ILHAVO,G.ENCARNAÇÄO,1993/03/27,14,20,1993/03/27,14,40,DES,0,0.01,0.01
BL0108,,MURTOSA,TORREIRA,1993/03/07,16,35,1993/03/07,18,0,DES,0,0.1,0.1
BL0109,,O.BAIRRO,O.BAIRRO,1993/07/01,18,15,1993/07/01,18,50,DES,0,0.003,0.003
BL0110,,PENACOVA,PENACOVA,1993/09/27,14,0,1993/09/27,17,0,DES,0.25,0,0.25
BL0111,,ANSIAO,LAGARTEIRA,1993/03/25,14,20,1993/03/25,15,30,DES,0.02,0.02,0.04
BL0112,,ANSIAO,T.V.TODOS,1993/03/25,14,35,1993/03/25,15,40,DES,0.01,0.01,0.02
BL0113,,S.VOUGA,DORNELAS,1993/04/18,14,50,1993/04/18,15,55,DES,0.12,0,0.12
BL0114,,AGUEDA,FERMENTELOS,1993/03/03,12,5,1993/03/03,12,30,DES,0,0.1,0.1
BL0115,,AGUEDA,FERMENTELOS,1993/03/07,16,35,1993/03/07,18,5,DES,3,0,3
BL0116,,O.BAIRRO,O.BAIRRO,1993/03/05,16,27,1993/03/05,17,0,DES,0,0.08,0.08
BL0117,,O.BAIRRO,O.BAIRRO,1993/03/07,2,20,1993/03/07,2,50,DES,0,0.04,0.04
BL0118,,O.BAIRRO,O.BAIRRO,1993/04/09,16,41,1993/04/09,17,20,DES,0,0.1,0.1
BL0119,,O.BAIRRO,PALHAÇA,1993/03/18,18,5,1993/03/18,18,50,DES,0,0.03,0.03
BL0120,,O.BAIRRO,OIA,1993/03/04,17,32,1993/03/04,17,55,DES,0,0.05,0.05
BL0121,,O.BAIRRO,OIA,1993/03/02,10,50,1993/03/02,11,20,DES,0,0.04,0.04
BL0122,,OVAR,CORTEGAÇA,1993/04/09,18,0,1993/04/09,18,30,DES,0,0.05,0.05
BL0123,,OVAR,CORTEGAÇA,1993/03/10,13,5,1993/03/10,13,50,DES,0,0.1,0.1
BL0124,,OVAR,VALEGA,1993/03/07,0,50,1993/03/07,1,20,DES,0,0.05,0.05
BL0125,,OVAR,CORTEGAÇA,1993/03/02,21,15,1993/03/02,22,0,DES,0,0.1,0.1
BL0125,,OVAR,CORTEGAÇA,1993/03/04,14,15,1993/03/04,15,30,DES,0,0.1,0.1
BL0125,,OVAR,CORTEGAÇA,1993/03/04,19,45,1993/03/04,20,30,DES,0,0.1,0.1
BL0126,,OVAR,S.V.P.JUSA,1993/03/02,15,30,1993/03/02,16,50,DES,0.075,0,0.075
BL0127,,OVAR,S.V.P.JUSA,1993/04/20,5,50,1993/04/20,6,30,DES,0.01,0,0.01
BL0128,,OVAR,ARADA,1993/03/28,19,34,1993/03/28,20,50,DES,0,2.5,2.5
BL0129,,OVAR,ARADA,1993/03/02,7,50,1993/03/02,10,0,DES,0.5,0,0.5
BL0130,,OVAR,OVAR,1993/03/21,0,5,1993/03/21,0,20,DES,0,0.01,0.01
BL0130,,OVAR,OVAR,1993/03/21,16,0,1993/03/21,16,20,DES,0,0.01,0.01
BL0131,,OVAR,OVAR,1993/03/04,14,10,1993/03/04,14,30,DES,0,0.05,0.05
BL0132,,OVAR,OVAR,1993/04/18,23,30,1993/04/18,23,50,DES,0,0.03,0.03
BL0133,,OVAR,OVAR,1993/03/02,12,40,1993/03/02,13,20,DES,0,0.01,0.01
BL0133,,OVAR,OVAR,1993/03/05,14,20,1993/03/05,15,40,DES,0,0.1,0.1
BL0134,,OVAR,OVAR,1993/03/10,13,10,1993/03/10,15,40,DES,0.1,0,0.1
BL0135,,OVAR,ESMORIZ,1993/03/02,21,0,1993/03/02,21,45,DES,0,0.05,0.05
BL0136,,OVAR,ESMORIZ,1993/03/10,14,30,1993/03/10,15,15,DES,0,0.1,0.1
BL0137,,OVAR,ESMORIZ,1993/03/08,17,0,1993/03/08,17,30,DES,0,0.05,0.05
BL0138,,OVAR,ESMORIZ,1993/03/19,1,0,1993/03/19,1,45,DES,0,0.05,0.05
BL0138,,OVAR,ESMORIZ,1993/03/20,21,0,1993/03/20,21,45,DES,0,0.1,0.1
BL0139,,OVAR,MACEDA,1993/03/02,15,15,1993/03/02,16,0,DES,0,0.15,0.15
BL0139,,OVAR,MACEDA,1993/03/03,19,45,1993/03/03,20,30,DES,0,0.15,0.15
BL0139,,OVAR,MACEDA,1993/03/05,0,45,1993/03/05,1,30,DES,0,0.1,0.1
BL0139,,OVAR,MACEDA,1993/03/08,14,15,1993/03/08,15,15,DES,0,0.15,0.15
BL0140,,OVAR,MACEDA,1993/04/19,17,15,1993/04/19,18,30,DES,0,0.2,0.2
BL0141,,OVAR,MACEDA,1993/03/17,23,15,1993/03/17,23,45,DES,0,0.05,0.05
BL0142,,ANSIAO,POUSAFLORES,1993/04/07,13,55,1993/04/07,14,50,DES,0,0.015,0.015
BL0143,,POMBAL,VERMOIL,1993/07/12,20,15,1993/07/12,20,35,DES,0,0.1,0.1
BL0144,,POMBAL,ABIUL,1993/07/25,5,0,1993/07/25,5,50,DES,0,0.1,0.1
BL0145,,POMBAL,S.S.LITEM,1993/07/21,3,0,1993/07/21,3,15,DES,0.005,0,0.005
BL0146,,VAGOS,OUCA,1993/03/04,17,23,1993/03/04,18,10,DES,0,0.01,0.01
BL0146,,VAGOS,OUCA,1993/03/07,20,18,1993/03/07,21,6,DES,0,0.05,0.05
BL0147,,VAGOS,SOZA,1993/03/10,21,58,1993/03/10,22,10,DES,0,0.11,0.11
BL0147,,VAGOS,SOZA,1993/03/12,23,13,1993/03/12,23,40,DES,0,0.025,0.025
BL0148,,VAGOS,CALVAO,1993/03/06,20,35,1993/03/06,21,0,DES,0,0.02,0.02
BL0149,,CANTANHEDE,SEPINS,1993/08/24,19,25,1993/08/24,20,15,DES,0.13,0,0.13
BL0150,,COIMBRA,BRASFEMES,1993/08/24,19,0,1993/08/24,20,0,DES,0,0.012,0.012
BL0151,,MEALHADA,BARCOUÇO,1993/03/18,18,42,1993/03/18,19,15,DES,0.01,0,0.01
BL0152,,MEALHADA,LUSO,1993/03/16,15,41,1993/03/16,17,30,DES,0,0.35,0.35
BL0153,,MEALHADA,BARCOUÇO,1993/03/18,19,34,1993/03/18,20,10,DES,0.03,0,0.03
BL0154,,OVAR,ARADA,1993/04/02,17,5,1993/04/02,18,0,DES,0,0.35,0.35
BL0155,,POMBAL,POMBAL,1993/04/18,17,13,1993/04/18,17,40,DES,0.1,0,0.1
BL0156,,POMBAL,POMBAL,1993/03/08,20,10,1993/03/08,22,47,DES,0,0.002,0.002
BL0157,,POMBAL,PELARIGA,1993/05/02,13,35,1993/05/02,14,10,DES,0,0.15,0.15
BL0158,,POMBAL,PELARIGA,1993/03/11,2,22,1993/03/11,3,15,DES,0.05,0,0.05
BL0159,,POMBAL,LOURIÇAL,1993/03/10,0,5,1993/03/10,0,25,DES,0.15,0,0.15
BL0160,,POMBAL,LOURIÇAL,1993/03/05,17,44,1993/03/05,18,35,DES,0.1,0,0.1
BL0161,,LEIRIA,BAROSA,1993/03/10,19,15,1993/03/10,20,30,DES,0,0.05,0.05
BL0162,,POMBAL,CARNIDE,1993/03/17,12,51,1993/03/17,14,25,DES,0.15,0,0.15
BL0163,,POMBAL,V.CA,1993/04/09,15,10,1993/04/09,18,55,DES,1,2,3
BL0164,,POMBAL,V.CA,1993/04/10,15,15,1993/04/10,17,15,DES,0.25,0,0.25
BL0165,,POMBAL,ABIUL,1993/04/10,15,55,1993/04/10,17,10,DES,0.6,0,0.6
BL0166,,POMBAL,ABIUL,1993/04/09,15,10,1993/04/09,18,55,DES,1,2,3
BL0167,,POMBAL,S.LITEM,1993/04/18,16,0,1993/04/18,16,35,DES,0.2,0,0.2
BL0168,,POMBAL,VERMOIL,1993/04/09,0,50,1993/04/09,3,50,DES,0.1,0,0.1
BL0169,,F.VINHOS,AGUDA,1993/03/09,14,10,1993/03/09,15,30,DES,0,0.03,0.03
BL0170,,F.VINHOS,AGUDA,1993/04/08,14,42,1993/04/08,17,20,DES,3,0,3
BL0171,,F.VINHOS,CAMPELO,1993/05/07,15,45,1993/05/07,18,0,DES,0.5,0,0.5
BL0172,,F.VINHOS,F.VINHOS,1993/03/25,15,20,1993/03/25,19,0,DES,10,23.3,33.3
BL0173,,F.VINHOS,F.VINHOS,1993/04/08,10,8,1993/04/08,12,0,DES,0.32,0,0.32
BL0174,,F.VINHOS,AREGA,1993/04/09,18,30,1993/04/09,20,0,DES,1,0,1
BL0175,,F.VINHOS,F.VINHOS,1993/04/19,16,57,1993/04/19,19,0,DES,0.12,0,0.12
BL0176,,F.VINHOS,AREGA,1993/04/17,16,5,1993/04/17,17,20,DES,0.05,0,0.05
BL0177,,LEIRIA,MARRAZES,1993/03/06,20,19,1993/03/06,20,35,DES,0,0.02,0.02
BL0178,,C.PERA,C.PERA,1993/03/01,15,25,1993/03/01,16,30,DES,0.006,0,0.006
BL0179,,ANSIAO,C.COUCE,1993/04/10,12,50,1993/04/10,13,30,DES,0.5,0,0.5
BL0180,,ANSIAO,T.V.TODOS,1993/04/02,12,15,1993/04/02,13,30,DES,0,0.25,0.25
BL0181,,ALVAIAZERE,ALVAIAZERE,1993/03/06,16,0,1993/03/06,16,25,DES,0,0.5,0.5
BL0182,,ALVAIAZERE,PELMA,1993/03/16,15,20,1993/03/16,15,50,DES,0,0.5,0.5
BL0183,,ALVAIAZERE,PELMA,1993/03/29,17,5,1993/03/29,17,25,DES,0.5,0,0.5
BL0184,,POMBAL,ALMAGREIRA,1993/04/04,17,40,1993/04/04,20,15,DES,0.4,0.1,0.5
BL0185,,ESTARREJA,AVANCA,1993/04/07,14,53,1993/04/07,15,40,DES,0,0.01,0.01
BL0186,,ESTARREJA,AVANCA,1993/03/10,16,40,1993/03/10,18,0,DES,0.5,0,0.5
BL0187,,ESTARREJA,BEDUIDO,1993/03/05,0,0,1993/03/05,0,10,DES,0,0.01,0.01
BL0188,,AVEIRO,REQUEIXO,1993/07/16,23,35,1993/07/17,0,20,DES,0,0.025,0.025
BL0189,,LEIRIA,M.REDONDO,1993/08/16,20,55,1993/08/16,21,10,DES,0,0.005,0.005
BL0190,,AVEIRO,ESGUEIRA,1993/03/30,0,50,1993/03/30,1,10,DES,0,0.01,0.01
BL0191,,AVEIRO,ESGUEIRA,1993/03/07,14,25,1993/03/07,15,0,DES,0,0.01,0.01
BL0192,,AGUEDA,A.CIMA,1993/03/30,0,0,1993/03/30,0,45,DES,0.05,0,0.05
BL0193,,AVEIRO,OLIVEIRINHA,1993/03/02,16,58,1993/03/02,18,45,DES,0,2,2
BL0194,,AVEIRO,S.JACINTO,1993/03/02,15,25,1993/03/02,16,0,DES,0,0.03,0.03
BL0195,,AVEIRO,S.BERNARDO,1993/03/04,17,24,1993/03/04,18,0,DES,0,0.03,0.03
BL0196,,AVEIRO,EIXO,1993/03/16,18,15,1993/03/16,19,0,DES,0.03,0,0.03
BL0197,,AGUEDA,RECARDAES,1993/03/25,18,14,1993/03/25,19,0,DES,0,0.1,0.1
BL0198,,A.VELHA,ANGEJA,1993/03/03,20,45,1993/03/03,21,45,DES,0,0.01,0.01
BL0199,,AGUEDA,AGUEDA,1993/03/27,13,35,1993/03/27,14,15,DES,0,0.05,0.05
BL0200,,AGUEDA,AGUEDA,1993/03/29,13,5,1993/03/29,13,50,DES,0,0.1,0.1
BL0201,,AGUEDA,AGUEDA,1993/03/07,13,35,1993/03/07,14,0,DES,0,0.1,0.1
BL0202,,AGUEDA,AGUEDA,1993/03/20,22,15,1993/03/20,22,20,DES,0,0.05,0.05
BL0203,,AGUEDA,AGUEDA,1993/03/01,14,25,1993/03/01,15,10,DES,0.5,0,0.5
BL0204,,AGUEDA,A.CIMA,1993/03/31,15,50,1993/03/31,16,35,DES,0,0.1,0.1
BL0205,,AGUEDA,A.CIMA,1993/04/02,16,45,1993/04/02,18,20,DES,0.1,0,0.1
BL0206,,AGUEDA,BORRALHA,1993/03/20,2,15,1993/03/20,2,45,DES,0,0.1,0.1
BL0207,,AGUEDA,A.CIMA,1993/04/18,15,10,1993/04/18,16,20,DES,0,0.05,0.05
BL0208,,AGUEDA,BORRALHA,1993/03/24,20,30,1993/03/24,20,45,DES,0,0.05,0.05
BL0209,,AGUEDA,BORRALHA,1993/03/28,22,0,1993/03/28,22,45,DES,0,0.1,0.1
BL0210,,AGUEDA,BORRALHA,1993/05/01,18,20,1993/05/01,19,30,DES,0,0.15,0.15
BL0211,,AGUEDA,C.VOUGA,1993/03/04,15,27,1993/03/04,16,40,DES,0,0.05,0.05
BL0212,,AGUEDA,V.VOUGA,1993/03/05,15,55,1993/03/05,17,0,DES,0,0.05,0.05
BL0213,,AGUEDA,TRAVASSO,1993/03/27,16,10,1993/03/27,17,20,DES,0,0.15,0.15
BL0214,,AGUEDA,ESPINHEL,1993/03/27,10,23,1993/03/27,11,0,DES,0,0.05,0.05
BL0215,,AGUEDA,L.VOUGA,1993/03/29,22,35,1993/03/30,0,2,DES,0,0.2,0.2
BL0216,,A.VELHA,VALMAIOR,1993/03/09,14,18,1993/03/09,16,15,DES,1.5,0,1.5
BL0217,,A.VELHA,A.VELHA,1993/03/20,15,5,1993/03/20,17,0,DES,0,3,3
BL0218,,A.VELHA,A.VELHA,1993/03/30,14,20,1993/03/30,15,5,DES,0,0.01,0.01
BL0219,,A.VELHA,A.VELHA,1993/04/15,18,50,1993/04/15,19,10,DES,0,0.03,0.03
BL0220,,A.VELHA,A.VELHA,1993/04/02,12,20,1993/04/02,13,30,DES,0,0.03,0.03
BL0221,,A.VELHA,A.VELHA,1993/04/05,17,35,1993/04/05,18,10,DES,0,1,1
BL0222,,ANADIA,A.CIMA,1993/03/28,15,25,1993/03/28,18,10,DES,0,0.01,0.01
BL0223,,ANADIA,A.CIMA,1993/03/21,12,35,1993/03/21,12,55,DES,0,0.025,0.025
BL0224,,ANADIA,SANGALHOS,1993/03/09,16,50,1993/03/09,18,10,DES,0.05,0,0.05
BL0225,,ANADIA,SANGALHOS,1993/04/16,17,15,1993/04/16,18,30,DES,0,0.4,0.4
BL0226,,ANADIA,ARCOS,1993/03/30,11,45,1993/03/30,12,5,DES,0,0.01,0.01
BL0227,,AVEIRO,ESGUEIRA,1993/03/06,16,26,1993/03/06,17,0,DES,0,0.05,0.05
BL0228,,ANADIA,MOITA,1993/03/19,18,50,1993/03/19,19,20,DES,0,0.12,0.12
BL0229,,ANADIA,AGUIM,1993/02/09,18,10,1993/02/09,18,25,DES,0,0.25,0.25
BL0230,,ANADIA,TAMENGOS,1993/04/10,17,25,1993/04/10,18,0,DES,0,0.2,0.2
BL0231,,ANADIA,A.CIMA,1993/03/07,13,30,1993/03/07,14,15,DES,0,0.35,0.35
BL0232,,ANADIA,A.GANDARA,1993/04/02,15,30,1993/04/02,16,20,DES,0,0.025,0.025
BL0248,,ALVAIAZERE,ALMOSTER,1993/02/08,10,30,1993/02/08,11,0,DES,0,0.08,0.08
BL0252,,ESTARREJA,PARDILHO,1993/03/04,14,55,1993/03/04,17,30,DES,1,0,1
BL0252,,ESTARREJA,PARDILHO,1993/03/04,23,0,1993/03/04,23,30,DES,0,0.2,0.2
BL0253,,OVAR,S.V.P.JUSA,1993/06/13,16,59,1993/06/13,18,10,DES,0.25,0.25,0.5
BL0254,,S.VOUGA,R.VOUGA,1993/06/13,12,25,1993/06/13,13,10,DES,0,0.05,0.05
BL0255,,LEIRIA,M.REDONDO,1993/06/12,16,45,1993/06/12,18,0,DES,0,1,1
BL0256,,POMBAL,M.MOURISCA,1993/06/12,20,25,1993/06/12,21,25,DES,0,0.5,0.5
BL0257,,P.SERRA,D.ZEZERE,1993/06/12,17,55,1993/06/12,18,55,DES,0,0.5,0.5
BL0258,,CANTANHEDE,TOCHA,1993/06/13,18,50,1993/06/13,20,10,DES,1,0,1
BL0258,,CANTANHEDE,TOCHA,1993/06/14,16,5,1993/06/14,17,5,DES,1,0,1
BL0259,,AGUEDA,BORRALHA,1993/06/13,19,25,1993/06/13,20,0,DES,0,0.03,0.03
BL0260,,OVAR,ESMORIZ,1993/06/12,14,30,1993/06/12,14,50,DES,0,0.05,0.05
BL0261,,LEIRIA,MACEIRA,1993/06/16,11,0,1993/06/16,12,50,DES,0,2,2
BL0262,,POMBAL,REDINHA,1993/06/16,12,30,1993/06/16,13,55,DES,0,0.1,0.1
BL0262,,POMBAL,REDINHA,1993/06/16,16,45,1993/06/16,17,45,DES,0.05,0.05,0.1
BL0263,,MURTOSA,BUNHEIRO,1993/06/16,16,15,1993/06/16,17,50,DES,0,0.03,0.03
BL0264,,AGUEDA,M.VOUGA,1993/06/15,22,30,1993/06/15,23,0,DES,0,0.01,0.01
BL0265,,OVAR,OVAR,1993/06/15,17,12,1993/06/15,17,30,DES,0,0.03,0.03
BL0266,,OVAR,OVAR,1993/06/17,18,50,1993/06/17,20,40,DES,0,0.5,0.5
BL0267,,OVAR,S.V.P.JUSA,1993/06/17,17,10,1993/06/17,18,10,DES,0,0.02,0.02
BL0268,,OVAR,VALEGA,1993/06/17,20,4,1993/06/17,21,0,DES,0,0.15,0.15
BL0269,,OVAR,OVAR,1993/06/19,4,30,1993/06/19,5,15,DES,0.05,0.05,0.1
BL0270,,COIMBRA,S.SILVESTRE,1993/06/19,17,30,1993/06/19,17,41,DES,0.001,0,0.001
BL0271,,COIMBRA,S.A.OLIVAIS,1993/06/14,1,6,1993/06/14,2,45,DES,1.2,0,1.2
BL0272,,CANTANHEDE,FEBRES,1993/06/14,13,0,1993/06/14,13,45,DES,1,0,1
BL0273,,P.SERRA,P.SERRA,1993/06/15,12,58,1993/06/15,13,45,DES,0,0.01,0.01
BL0274,,P.SERRA,PESSEGUEIRO,1993/06/18,16,25,1993/06/18,19,0,DES,0.8,0,0.8
BL0275,,SOURE,SOURE,1993/06/15,22,15,1993/06/15,23,10,DES,0,0.05,0.05
BL0276,,SOURE,V.RAINHA,1993/06/17,23,8,1993/06/18,0,30,DES,0.1,0,0.1
BL0277,,F.FOZ,F.FOZ,1993/06/19,23,50,1993/06/20,0,0,DES,0,0.001,0.001
BL0278,,GOIS,GOIS,1993/06/13,13,35,1993/06/13,16,0,DES,0.55,0,0.55
BL0279,,M.GRANDE,M.GRANDE,1993/06/17,12,15,1993/06/17,13,0,DES,0.5,0.5,1
BL0280,,LEIRIA,BAROSA,1993/06/19,22,8,1993/06/19,22,30,DES,0,0.05,0.05
BL0281,,LEIRIA,COIMBRAO,1993/06/15,18,5,1993/06/15,19,15,DES,1,0,1
BL0282,,P.GRANDE,V.FACAIA,1993/06/19,2,58,1993/06/19,4,10,DES,0,0.48,0.48
BL0283,,P.GRANDE,V.FACAIA,1993/06/19,23,5,1993/06/20,0,0,DES,0.01,0.015,0.025
BL0284,,P.GRANDE,P.GRANDE,1993/06/14,19,2,1993/06/14,20,8,DES,0.03,0,0.03
BL0285,,POMBAL,S.S.LITEM,1993/06/15,14,30,1993/06/15,16,40,DES,0.05,0.05,0.1
BL0286,,POMBAL,V.CA,1993/06/17,22,0,1993/06/17,22,45,DES,0.13,0,0.13
BL0287,,POMBAL,POMBAL,1993/06/19,14,55,1993/06/19,15,50,DES,0,0.15,0.15
BL0288,,POMBAL,POMBAL,1993/06/19,11,55,1993/06/19,12,20,DES,0.2,0,0.2
BL0289,,POMBAL,POMBAL,1993/06/19,12,30,1993/06/19,13,45,DES,0.1,0,0.1
BL0290,,P.GRANDE,V.FACAIA,1993/06/20,11,0,1993/06/20,12,10,DES,0.05,0,0.05
BL0291,,P.GRANDE,V.FACAIA,1993/06/20,13,38,1993/06/20,14,30,DES,0.04,0,0.04
BL0292,,P.GRANDE,V.FACAIA,1993/06/20,21,40,1993/06/20,22,35,DES,0.025,0,0.025
BL0293,,F.VINHOS,AGUDA,1993/06/20,22,50,1993/06/20,23,40,DES,0.005,0.005,0.01
BL0294,,MEALHADA,LUSO,1993/06/20,14,39,1993/06/20,16,10,DES,0.37,0,0.37
BL0295,,OVAR,MACEDA,1993/06/20,22,30,1993/06/20,23,15,DES,0.05,0.05,0.1
BL0296,,LOUSA,VILARINHO,1993/06/20,18,45,1993/06/20,19,30,DES,0.06,0,0.06
BL0298,,LEIRIA,MACEIRA,1993/06/25,15,53,1993/06/25,16,5,DES,0,0.2,0.2
BL0299,,ALVAIAZERE,PELMA,1993/06/25,18,10,1993/06/25,19,10,DES,1,0,1
BL0300,,POMBAL,M.MOURISCA,1993/06/25,16,23,1993/06/25,17,0,DES,0.04,0,0.04
BL0301,,ALVAIAZERE,PELMA,1993/06/23,23,15,1993/06/24,2,0,DES,2.4,0.6,3
BL0302,,P.GRANDE,V.FACAIA,1993/06/21,12,45,1993/06/21,13,30,DES,0.02,0,0.02
BL0303,,LEIRIA,COIMBRAO,1993/06/23,19,0,1993/06/23,19,30,DES,0.5,0,0.5
BL0304,,LEIRIA,M.REDONDO,1993/06/23,15,45,1993/06/23,16,5,DES,0.025,0,0.025
BL0305,,POMBAL,A.DOZE,1993/06/26,14,35,1993/06/26,15,20,DES,0.75,0,0.75
BL0306,,POMBAL,V.CA,1993/06/23,21,30,1993/06/23,23,0,DES,0.1,0,0.1
BL0307,,POMBAL,ABIUL,1993/06/26,15,15,1993/06/26,17,30,DES,1,0,1
BL0308,,POMBAL,A.DOZE,1993/06/26,14,42,1993/06/26,15,25,DES,1.5,0,1.5
BL0309,,LEIRIA,MILAGRES,1993/06/26,19,45,1993/06/26,21,17,DES,0.2,0,0.2
BL0310,,C.PERA,C.PERA,1993/06/26,17,0,1993/06/26,17,50,DES,0,0.005,0.005
BL0311,,LEIRIA,M.REDONDO,1993/06/26,2,0,1993/06/26,3,45,DES,1,0,1
BL0312,,P.GRANDE,V.FACAIA,1993/06/26,5,5,1993/06/26,6,0,DES,0.01,0,0.01
BL0313,,LOUSA,VILARINHO,1993/06/22,22,26,1993/06/22,23,10,DES,0.03,0.04,0.07
BL0314,,CANTANHEDE,MURTEDE,1993/06/25,15,50,1993/06/25,16,40,DES,0,0.05,0.05
BL0315,,O.HOSPITAL,LAGARES,1993/06/24,15,30,1993/06/24,16,0,DES,0,0.5,0.5
BL0316,,PENACOVA,PENACOVA,1993/06/22,17,10,1993/06/22,19,0,DES,0.3,0,0.3
BL0317,,P.SERRA,FAJAO,1993/06/23,13,19,1993/06/23,15,38,DES,0.5,3.5,4
BL0318,,AVEIRO,ESGUEIRA,1993/06/23,14,46,1993/06/23,15,0,DES,0,0.005,0.005
BL0319,,OVAR,MACEDA,1993/06/25,15,0,1993/06/25,16,30,DES,0.1,0,0.1
BL0320,,OVAR,CORTEGAÇA,1993/06/25,17,0,1993/06/25,17,20,DES,0,0.05,0.05
BL0321,,OVAR,OVAR,1993/06/26,1,19,1993/06/26,1,48,DES,0,0.015,0.015
BL0322,,O.BAIRRO,MAMARROSA,1993/06/26,3,45,1993/06/26,4,15,DES,0,0.05,0.05
BL0323,,P.GRANDE,V.FACAIA,1993/06/23,18,30,1993/06/23,22,0,DES,1,1.5,2.5
BL0324,,POMBAL,GUIA,1993/06/27,18,30,1993/06/27,20,30,DES,2,0,2
BL0325,,POMBAL,A.DOZE,1993/06/27,13,25,1993/06/27,14,0,DES,0.075,0,0.075
