REGISTO,OBSER,CONCELHO,FREGUESIA,DATAINICIO,HORAINI,MINUTINI,DATAFIM,HORAFIM,MINUFIM,CAUSA,A_ARBORIZA,A_N_ARBORI,TOTAL
AG0027,,ALBUFEIRA,ALBUFEIRA,1993/03/21,14,8,1993/03/21,15,12,DES,0,0.001,0.001
AG0028,,LAGOS,B.S.JOAO,1993/03/28,10,23,1993/03/28,19,40,DES,20,0,20
AG0029,,LOULE,QUERENÇA,1993/03/01,10,16,1993/03/01,11,48,DES,0,0.015,0.015
AG0030,,MONCHIQUE,MARMELETE,1993/03/30,14,22,1993/03/30,16,39,DES,0.5,0,0.5
AG0031,,MONCHIQUE,MONCHIQUE,1993/03/09,14,30,1993/03/09,16,15,DES,0.05,0,0.05
AG0032,,MONCHIQUE,MONCHIQUE,1993/03/20,14,54,1993/03/20,16,1,DES,1,0,1
AG0033,,MONCHIQUE,MONCHIQUE,1993/03/31,20,6,1993/03/31,21,10,DES,0.5,0,0.5
AG0034,,MONCHIQUE,MONCHIQUE,1993/03/20,20,24,1993/03/20,21,3,DES,0,0.03,0.03
AG0035,,MONCHIQUE,MONCHIQUE,1993/03/23,20,49,1993/03/23,21,13,DES,0.3,0,0.3
AG0036,,SILVES,S.B.MESSINES,1993/03/16,17,2,1993/03/16,18,0,DES,0,0.1,0.1
AG0037,,SILVES,SILVES,1993/03/27,21,28,1993/03/27,22,18,DES,0.02,0,0.02
AG0038,,ALBUFEIRA,ALBUFEIRA,1993/04/05,12,30,1993/04/05,12,45,DES,0,0.005,0.005
AG0039,,ALBUFEIRA,GUIA,1993/04/21,19,5,1993/04/21,20,0,DES,0.004,0,0.004
AG0040,,C.MARIM,AZINHAL,1993/04/22,19,39,1993/04/22,21,18,DES,0,0.04,0.04
AG0041,,C.MARIM,ODELEITE,1993/04/06,18,57,1993/04/06,21,13,DES,0,1,1
AG0042,,FARO,SE,1993/04/19,18,26,1993/04/19,18,50,DES,0,0.02,0.02
AG0043,,LOULE,AMEIXIAL,1993/04/19,12,25,1993/04/19,15,9,DES,0,0.05,0.05
AG0044,,LOULE,BENAFIM,1993/04/17,17,28,1993/04/17,18,25,DES,0,0.005,0.005
AG0045,,LOULE,SALIR,1993/04/19,17,3,1993/04/19,22,7,DES,5,0,5
AG0046,,MONCHIQUE,MONCHIQUE,1993/04/21,15,20,1993/04/21,16,40,DES,0.03,0,0.03
AG0047,,MONCHIQUE,MONCHIQUE,1993/04/03,21,40,1993/04/03,23,20,DES,0.05,0,0.05
AG0048,,MONCHIQUE,MONCHIQUE,1993/04/01,23,22,1993/04/02,0,0,DES,0,0.01,0.01
AG0049,,SILVES,S.B.MESSINES,1993/04/02,16,23,1993/04/02,18,9,DES,0.08,0,0.08
AG0050,,SILVES,SILVES,1993/04/22,14,39,1993/04/22,15,26,DES,0,0.02,0.02
AG0051,,V.R.S.ANTº,M.GORDO,1993/04/17,11,58,1993/04/17,12,30,DES,0,0.01,0.01
AG0052,,V.R.S.ANTº,V.R.S.ANTº,1993/04/17,19,5,1993/04/17,20,9,DES,2,0,2
AG0053,,FARO,SE,1993/05/09,18,41,1993/05/09,19,45,DES,0,0.004,0.004
AG0054,,LOULE,QUARTEIRA,1993/05/02,13,7,1993/05/02,13,40,DES,0,0.001,0.001
AG0055,,SILVES,S.B.MESSINES,1993/05/05,21,55,1993/05/05,22,40,DES,0,0.005,0.005
AG0056,,TAVIRA,CONCEIÇAO,1993/05/06,21,20,1993/05/06,22,0,DES,0,0.05,0.05
AG0057,,OLHAO,OLHAO,1993/05/21,17,4,1993/05/21,18,0,DES,0.005,0,0.005
AG0058,,SILVES,S.M.SERRA,1993/05/16,12,19,1993/05/16,13,8,DES,0,0.002,0.002
AG0059,,SILVES,ALCANTARILHA,1993/05/31,13,47,1993/05/31,13,57,DES,0,0.001,0.001
AG0060,,FARO,S.PEDRO,1993/06/05,16,36,1993/06/05,17,10,DES,0,0.001,0.001
AG0061,,LOULE,QUARTEIRA,1993/06/06,19,38,1993/06/06,20,0,DES,0,0.15,0.15
AG0062,,TAVIRA,S.C.F.BISPO,1993/06/03,18,18,1993/06/03,19,37,DES,0,0.07,0.07
AG0063,,ALBUFEIRA,ALBUFEIRA,1993/06/08,17,21,1993/06/09,11,29,DES,0,0.02,0.02
AG0064,,FARO,CONCEIÇAO,1993/06/08,23,23,1993/06/08,23,55,DES,0,0.01,0.01
AG0065,,FARO,SE,1993/06/11,18,51,1993/06/11,19,35,DES,0,0.01,0.01
AG0066,,FARO,SE,1993/06/12,10,15,1993/06/12,10,32,DES,0,0.005,0.005
AG0067,,LOULE,QUARTEIRA,1993/06/13,0,14,1993/06/13,1,0,DES,0,0.02,0.02
AG0068,,OLHAO,OLHAO,1993/06/12,2,16,1993/06/12,3,15,DES,0,0.002,0.002
AG0069,,SILVES,S.B.MESSINES,1993/06/12,0,0,1993/06/12,2,8,DES,0.002,0,0.002
AG0070,,SILVES,S.B.MESSINES,1993/06/12,10,24,1993/06/12,12,28,DES,0,0.004,0.004
AG0071,,FARO,S.PEDRO,1993/06/14,22,4,1993/06/14,22,54,DES,0,0.005,0.005
AG0072,,FARO,S.PEDRO,1993/06/18,19,55,1993/06/18,20,24,DES,0,0.005,0.005
AG0073,,TAVIRA,S.MARIA,1993/06/20,11,48,1993/06/20,12,56,DES,0.005,0,0.005
AG0074,,LAGOA,ESTOMBAR,1993/06/17,17,48,1993/06/17,18,58,DES,0.02,0,0.02
AG0075,,LAGOS,LUZ,1993/06/14,13,34,1993/06/14,14,39,DES,0,1,1
AG0076,,LOULE,ALMANSIL,1993/06/17,23,4,1993/06/18,0,52,DES,0.2,0,0.2
AG0077,,LOULE,BOLIQUEIME,1993/06/14,15,19,1993/06/14,16,20,DES,0,0.01,0.01
AG0078,,LOULE,S.CLEMENTE,1993/06/14,23,52,1993/06/15,0,26,DES,0,0.01,0.01
AG0079,,LOULE,S.CLEMENTE,1993/06/18,18,40,1993/06/18,18,53,DES,0,0.01,0.01
AG0080,,OLHAO,QUELFES,1993/06/15,18,18,1993/06/15,19,30,DES,0,0.004,0.004
AG0081,,SILVES,ALGOZ,1993/06/14,13,56,1993/06/14,14,28,DES,0,0.01,0.01
AG0082,,SILVES,ALGOZ,1993/06/16,22,49,1993/06/16,23,32,DES,0,0.01,0.01
AG0083,,SILVES,SILVES,1993/06/15,17,53,1993/06/15,19,0,DES,0.15,0,0.15
AG0084,,TAVIRA,LUZ,1993/06/16,13,42,1993/06/16,15,4,DES,0.005,0,0.005
AG0085,,TAVIRA,SANTIAGO,1993/06/14,13,6,1993/06/14,15,0,DES,0,0.015,0.015
AG0086,,V.R.S.ANTº,V.R.S.ANTº,1993/06/17,14,29,1993/06/17,15,30,DES,0,0.5,0.5
AG0087,,V.R.S.ANTº,V.R.S.ANTº,1993/06/17,20,49,1993/06/17,21,9,DES,0,0.01,0.01
AG0088,,FARO,ESTOI,1993/06/22,21,9,1993/06/22,21,59,DES,0,0.05,0.05
AG0089,,TAVIRA,SANTIAGO,1993/06/24,1,56,1993/06/24,2,40,DES,0,0.005,0.005
AG0090,,V.R.S.ANTº,V.R.S.ANTº,1993/06/26,18,14,1993/06/26,19,0,DES,0,0.03,0.03
AG0091,,LAGOS,S.MARIA,1993/06/26,18,30,1993/06/26,19,15,DES,0,0.005,0.005
AG0092,,PORTIMAO,PORTIMAO,1993/06/27,15,33,1993/06/27,17,14,DES,0,0.03,0.03
AG0093,,OLHAO,OLHAO,1993/06/30,17,33,1993/06/30,18,5,DES,0,0.005,0.005
AG0094,,LOULE,BOLIQUEIME,1993/06/30,17,52,1993/06/30,19,10,DES,0,0.1,0.1
AG0095,,ALCOUTIM,ALCOUTIM,1993/06/30,18,50,1993/06/30,20,50,DES,2,0,2
AG0096,,ALBUFEIRA,ALBUFEIRA,1993/06/30,20,15,1993/06/30,21,0,DES,0,0.02,0.02
AG0097,,OLHAO,FUZETA,1993/07/01,15,23,1993/07/01,18,25,DES,0,0.003,0.003
AG0098,,V.BISPO,V.BISPO,1993/07/01,16,45,1993/07/01,18,40,DES,1,1,2
AG0099,,TAVIRA,LUZ,1993/07/01,17,30,1993/07/01,19,20,DES,0,0.035,0.035
AG0100,,PORTIMAO,ALVOR,1993/07/02,16,3,1993/07/02,17,26,DES,0,0.06,0.06
AG0101,,TAVIRA,S.MARIA,1993/07/02,16,9,1993/07/02,18,20,DES,0.35,0,0.35
AG0102,,TAVIRA,S.MARIA,1993/07/02,20,39,1993/07/02,21,8,DES,0,0.001,0.001
AG0102,,TAVIRA,S.MARIA,1993/07/02,21,53,1993/07/02,22,12,DES,0,0.005,0.005
AG0103,,TAVIRA,S.MARIA,1993/07/03,16,9,1993/07/03,16,40,DES,0,0.015,0.015
AG0104,,FARO,SE,1993/07/03,18,32,1993/07/03,18,49,DES,0,0.02,0.02
AG0105,,SILVES,SILVES,1993/07/04,22,40,1993/07/04,23,15,DES,0,0.02,0.02
AG0106,,ALJEZUR,ODECEIXE,1993/07/04,22,43,1993/07/04,23,33,DES,0.01,0,0.01
AG0107,,LOULE,S.SEBASTIAO,1993/07/05,15,40,1993/07/05,16,46,DES,0,0.03,0.03
AG0108,,FARO,S.B.NEXE,1993/07/05,2,17,1993/07/05,2,57,DES,0,0.005,0.005
AG0109,,PORTIMAO,PORTIMAO,1993/07/05,17,12,1993/07/05,19,25,DES,2,0,2
AG0110,,SILVES,S.B.MESSINES,1993/07/05,18,15,1993/07/05,20,30,DES,0.03,0,0.03
AG0111,,FARO,S.B.NEXE,1993/07/05,20,14,1993/07/05,23,35,DES,0,0.04,0.04
AG0112,,S.B.ALPORTEL,S.B.ALPORTEL,1993/07/06,2,27,1993/07/06,4,30,DES,0,0.5,0.5
AG0113,,FARO,S.B.NEXE,1993/07/06,16,5,1993/07/06,18,30,DES,0.02,0,0.02
AG0114,,PORTIMAO,PORTIMAO,1993/07/07,22,50,1993/07/08,0,27,DES,0,0.005,0.005
AG0115,,OLHAO,PECHAO,1993/07/09,17,15,1993/07/10,11,25,DES,0,0.005,0.005
AG0116,,OLHAO,OLHAO,1993/07/09,15,12,1993/07/10,7,32,DES,0.005,0,0.005
AG0117,,MONCHIQUE,ALFERCE,1993/07/09,20,59,1993/07/09,22,49,DES,0.01,0,0.01
AG0118,,PORTIMAO,PORTIMAO,1993/07/09,22,48,1993/07/09,23,18,DES,0,0.01,0.01
AG0119,,S.B.ALPORTEL,S.B.ALPORTEL,1993/07/09,23,58,1993/07/10,0,15,DES,0,0.001,0.001
AG0120,,ALJEZUR,BORDEIRA,1993/07/10,18,58,1993/07/10,22,5,DES,0,2,2
AG0121,,ALBUFEIRA,ALBUFEIRA,1993/07/11,14,7,1993/07/11,14,47,DES,0.02,0,0.02
AG0122,,LAGOA,PORCHES,1993/07/11,14,46,1993/07/11,15,28,DES,0,0.05,0.05
AG0123,,TAVIRA,CONCEIÇAO,1993/07/11,17,53,1993/07/11,18,43,DES,0,0.1,0.1
AG0124,,LOULE,ALTE,1993/07/11,17,58,1993/07/11,21,18,DES,1,0,1
AG0125,,PORTIMAO,PORTIMAO,1993/07/11,18,34,1993/07/11,19,5,DES,0,0.03,0.03
AG0126,,FARO,CONCEIÇAO,1993/07/12,20,26,1993/07/12,21,0,DES,0,1,1
AG0127,,LOULE,ALMANSIL,1993/07/12,0,41,1993/07/12,1,40,DES,0,0.02,0.02
AG0128,,S.B.ALPORTEL,S.B.ALPORTEL,1993/07/12,17,50,1993/07/12,18,20,DES,0,0.004,0.004
AG0129,,ALBUFEIRA,ALBUFEIRA,1993/07/12,15,43,1993/07/12,16,19,DES,0,0.15,0.15
AG0130,,SILVES,S.M.SERRA,1993/07/12,11,48,1993/07/13,1,20,INT,41.563,0,41.563
AG0131,,LOULE,BENAFIM,1993/07/13,14,25,1993/07/13,16,12,DES,0.01,0.19,0.2
AG0132,,OLHAO,OLHAO,1993/07/13,0,33,1993/07/13,1,20,DES,0,0.002,0.002
AG0133,,LOULE,QUARTEIRA,1993/07/13,13,16,1993/07/13,14,20,DES,0,0.02,0.02
AG0134,,FARO,S.B.NEXE,1993/07/13,22,0,1993/07/13,23,30,DES,0.01,0,0.01
AG0135,,TAVIRA,LUZ,1993/07/13,19,19,1993/07/13,21,42,DES,0.8,0,0.8
AG0136,,LOULE,QUARTEIRA,1993/07/13,15,8,1993/07/13,18,3,DES,0.25,0.25,0.5
AG0137,,ALCOUTIM,ALCOUTIM,1993/07/13,16,20,1993/07/13,17,16,DES,1,2.5,3.5
AG0138,,FARO,CONCEIÇAO,1993/07/13,23,38,1993/07/14,0,50,DES,0,0.002,0.002
AG0139,,S.B.ALPORTEL,S.B.ALPORTEL,1993/07/13,0,53,1993/07/13,1,58,DES,0,0.006,0.006
AG0140,,V.R.S.ANTº,V.R.S.ANTº,1993/07/14,14,4,1993/07/14,15,4,DES,0,0.02,0.02
AG0141,,LOULE,ALMANSIL,1993/07/14,14,24,1993/07/14,16,9,DES,2,0,2
AG0142,,OLHAO,QUELFES,1993/07/14,21,10,1993/07/14,23,33,DES,0,0.02,0.02
AG0143,,FARO,S.B.NEXE,1993/07/14,23,52,1993/07/15,1,8,DES,0,0.05,0.05
AG0144,,LOULE,QUARTEIRA,1993/07/14,8,41,1993/07/14,9,43,DES,0,1,1
AG0145,,FARO,S.B.NEXE,1993/07/15,11,30,1993/07/15,14,32,DES,0.2,0.3,0.5
AG0146,,LOULE,QUARTEIRA,1993/07/15,7,31,1993/07/15,8,47,DES,0,0.01,0.01
AG0147,,S.B.ALPORTEL,S.B.ALPORTEL,1993/07/15,16,21,1993/07/15,17,54,DES,0,0.1,0.1
AG0148,,LOULE,S.CLEMENTE,1993/07/16,22,44,1993/07/16,23,45,DES,0,0.3,0.3
AG0149,,FARO,S.B.NEXE,1993/07/16,16,59,1993/07/16,18,40,DES,0,0.2,0.2
AG0150,,LOULE,S.SEBASTIAO,1993/07/16,17,51,1993/07/16,18,40,DES,0,0.003,0.003
AG0151,,FARO,CONCEIÇAO,1993/07/16,23,39,1993/07/17,0,16,DES,0,0.02,0.02
AG0152,,S.B.ALPORTEL,S.B.ALPORTEL,1993/07/17,15,18,1993/07/17,20,5,DES,0,1,1
AG0153,,TAVIRA,LUZ,1993/07/17,15,47,1993/07/17,16,40,DES,0,0.16,0.16
AG0154,,ALJEZUR,ALJEZUR,1993/07/17,17,19,1993/07/17,18,3,DES,0,0.03,0.03
AG0155,,FARO,ESTOI,1993/07/17,15,53,1993/07/17,17,35,DES,0,0.04,0.04
AG0156,,TAVIRA,CONCEIÇAO,1993/07/17,19,8,1993/07/17,22,27,DES,0,2,2
AG0157,,FARO,S.B.NEXE,1993/07/17,14,18,1993/07/17,15,53,DES,0,0.02,0.02
AG0158,,OLHAO,OLHAO,1993/07/17,1,56,1993/07/17,3,35,DES,0,0.1,0.1
AG0159,,ALJEZUR,ODECEIXE,1993/07/18,21,31,1993/07/18,22,28,DES,0.1,0,0.1
AG0160,,C.MARIM,C.MARIM,1993/07/18,20,44,1993/07/18,21,37,DES,0,0.15,0.15
AG0161,,FARO,SE,1993/07/18,20,4,1993/07/18,20,35,DES,0,0.002,0.002
AG0162,,LOULE,SALIR,1993/07/18,18,5,1993/07/18,20,58,DES,0,0.015,0.015
AG0163,,SILVES,SILVES,1993/07/18,16,14,1993/07/18,17,35,DES,0,0.01,0.01
AG0164,,FARO,SE,1993/07/18,15,26,1993/07/18,15,52,DES,0,0.005,0.005
AG0165,,FARO,S.PEDRO,1993/07/18,15,2,1993/07/18,16,20,DES,0,0.01,0.01
AG0166,,S.B.ALPORTEL,S.B.ALPORTEL,1993/07/18,17,50,1993/07/18,18,17,DES,0,0.1,0.1
AG0166,,S.B.ALPORTEL,S.B.ALPORTEL,1993/07/18,14,51,1993/07/18,15,34,DES,0.01,0,0.01
AG0167,,C.MARIM,C.MARIM,1993/07/18,3,3,1993/07/18,7,18,DES,0,0.1,0.1
AG0168,,S.B.ALPORTEL,S.B.ALPORTEL,1993/07/18,5,57,1993/07/18,7,17,DES,0,0.01,0.01
AG0169,,OLHAO,MONCARAPACHO,1993/07/18,14,31,1993/07/18,15,10,DES,0.002,0,0.002
AG0170,,S.B.ALPORTEL,S.B.ALPORTEL,1993/07/19,13,29,1993/07/19,14,44,DES,0,0.002,0.002
AG0171,,FARO,S.PEDRO,1993/07/19,14,47,1993/07/19,15,40,DES,0,0.02,0.02
