ano,codigo_sgif,observ,concelho,freguesia,data_inicio,hora_inicio,data_fim,hora_fim,area_arborizada,area_nao_arborizada,area_total,causa
1981,,,SILVES,OUTRAS,1981-12-13,19:30,1981-12-13,22:00,0,3,3,12
1981,,,MAFRA,VILA FRANCA DO ROSARIO,1981-12-08,12:30,1981-12-08,21:30,1,1,2,12
1981,,,SANTAREM,SANTAREM (SÃO SALVADOR),1981-12-08,1:00,1981-12-08,1:20,0,0.1,0.1,12
1981,,,SANTAREM,TREMES,1981-12-08,17:55,1981-12-08,18:45,0,0.1,0.1,12
1981,,,MAFRA,MILHARADO,1981-12-08,18:00,1981-12-08,19:00,0.1,0.1,0.2,12
1981,,,REGUENGOS MONSARAZ,REGUENGOS DE MONSARAZ,1981-12-07,8:30,1981-12-07,10:15,0,1.5,1.5,12
1981,,,SINTRA,BELAS,1981-12-07,18:30,1981-12-07,19:30,0,0.4,0.4,12
1981,,,VILA FRANCA DE XIRA,VIALONGA,1981-12-06,16:00,1981-12-06,17:00,0,0.7,0.7,12
1981,,,SANTAREM,SANTAREM (SÃO NICOLAU),1981-12-06,2:30,1981-12-06,3:20,0,0.1,0.1,12
1981,,,MAFRA,MAFRA,1981-12-05,21:30,1981-12-05,23:00,0.5,0,0.5,12
1981,,,CASCAIS,OUTRAS,1981-12-05,17:25,1981-12-05,19:25,3.5,3.5,7,12
1981,,,TAROUCA,OUTRAS,1981-12-05,11:00,1981-12-05,12:30,0,0.5,0.5,12
1981,,,VILA FRANCA DE XIRA,VIALONGA,1981-12-05,20:00,1981-12-05,21:15,0,0.8,0.8,12
1981,,,SINTRA,ALMARGEM DO BISPO,1981-12-05,17:00,1981-12-05,18:30,0,0.3,0.3,12
1981,,,REGUENGOS MONSARAZ,REGUENGOS DE MONSARAZ,1981-12-05,17:00,1981-12-05,18:30,0,1,1,12
1981,,,TORRES VEDRAS,TURCIFAL,1981-12-04,12:00,1981-12-04,15:00,1.5,0,1.5,12
1981,,,MONDIM DE BASTO,VILAR DE FERREIROS,1981-12-04,9:30,1981-12-04,16:30,1.5,0,1.5,12
1981,,,MAFRA,MILHARADO,1981-12-04,17:30,1981-12-04,19:00,0.1,0.1,0.2,12
1981,,,PONTE DE SOR,OUTRAS,1981-12-04,8:00,1981-12-04,12:00,3,0,3,12
1981,,,SESIMBRA,SESIMBRA (CASTELO),1981-12-04,18:30,1981-12-04,19:45,0,0.1,0.1,12
1981,,,SINTRA,ALMARGEM DO BISPO,1981-12-04,14:45,1981-12-04,17:30,0.8,0,0.8,12
1981,,,VILA NOVA FAMALICÃO,S PAIO-SEIDE,1981-12-04,20:50,1981-12-04,21:25,0,0.1,0.1,12
1981,,,SINTRA,ALMARGEM DO BISPO,1981-12-03,12:00,1981-12-03,13:30,0,0.5,0.5,12
1981,,,OEIRAS,OUTRAS,1981-12-03,20:40,1981-12-03,21:00,0,2,2,12
1981,,,MAFRA,MAFRA,1981-12-03,20:35,1981-12-03,22:50,0.5,0,0.5,10
1981,,,VENDAS NOVAS,VENDAS NOVAS,1981-12-03,3:00,1981-12-03,4:00,0.2,0.3,0.5,12
1981,,,SANTAREM,SANTAREM (SÃO SALVADOR),1981-12-03,19:55,1981-12-03,20:40,0,0.1,0.1,12
1981,,,TORRES VEDRAS,FREIRIA,1981-12-03,22:30,1981-12-04,2:15,1,0,1,12
1981,,,MAFRA,MAFRA,1981-12-02,17:40,1981-12-02,19:10,0.5,0,0.5,10
1981,,,MONTALEGRE,COVELO DO GERES,1981-12-02,15:30,1981-12-02,22:00,0,4,4,12
1981,,,AROUCA,SANTA EULALIA,1981-12-02,15:00,1981-12-03,3:00,0,6,6,12
1981,,,TORRES VEDRAS,OUTRAS,1981-12-02,16:40,1981-12-02,18:40,0.2,0.2,0.4,12
1981,,,MONCHIQUE,MONCHIQUE,1981-12-02,15:00,1981-12-02,16:00,0.2,0,0.2,12
1981,,,MAFRA,ENCARNAÇÃO,1981-12-02,18:35,1981-12-02,23:20,4.1,1.5,5.6,12
1981,,,MAFRA,MAFRA,1981-12-02,17:00,1981-12-02,24:00,20,0,20,12
1981,,,TORRES VEDRAS,VENTOSA,1981-12-02,14:45,1981-12-02,15:45,0.3,0.3,0.6,12
1981,,,SINTRA,ALMARGEM DO BISPO,1981-12-02,19:05,1981-12-03,1:00,0.5,1,1.5,12
1981,,,MONÇÃO,TANGIL,1981-12-01,12:30,1981-12-01,15:00,0,2,2,10
1981,,,GUIMARÃES,FERMENTOES,1981-12-01,17:20,1981-12-01,19:30,0,0.1,0.1,12
