codigo_sgif,distrito,concelho,freguesia,data_inicio,hora_inicio,data_fim,hora_fim,reacendimento,area_povoamento,area_mato,area_total,causa
AG173,FARO,FARO,S.PEDRO,1996-09-05,15:22:00,1996-09-05,16:55:00,,0,0.002,0.002,DES
AG76,FARO,FARO,S.PEDRO,1996-07-08,17:30:00,1996-07-08,19:12:00,,0,0.1,0.1,DES
AG53,FARO,FARO,STª.B.NEXE,1996-06-25,15:48:00,1996-06-25,17:50:00,,0,0.03,0.03,DES
AG74,FARO,FARO,S.PEDRO,1996-07-07,14:00:00,1996-07-07,16:10:00,,0,0.04,0.04,DES
AG133,FARO,FARO,ESTOI,1996-08-04,11:54:00,1996-08-04,15:00:00,,0,0.5,0.5,DES
AG220,FARO,FARO,ESTOI,1996-09-29,16:56:00,1996-09-29,20:40:00,,1,0,1,DES
AG223,FARO,FARO,ESTOI,1996-10-01,17:23:00,1996-10-01,23:40:00,,0,1,1,DES
AG168,FARO,FARO,S.PEDRO,1996-09-01,16:41:00,1996-09-02,02:28:00,,2,0,2,DES
AG178,FARO,LAGOA,LAGOA,1996-09-08,22:58:00,1996-09-08,23:19:00,,0,0.005,0.005,DES
AG212,FARO,LAGOA,LAGOA,1996-09-28,19:21:00,1996-09-28,19:47:00,,0,0.02,0.02,DES
AG181,FARO,LAGOA,ESTOMBAR,1996-09-10,23:55:00,1996-09-11,00:22:00,,0,0.002,0.002,DES
AG30,FARO,LAGOA,ESTOMBAR,1996-06-19,19:17:00,1996-06-19,19:50:00,,0,0.005,0.005,DES
AG112,FARO,LAGOA,CARVOEIRO,1996-07-25,13:12:00,1996-07-25,13:47:00,,0,0.002,0.002,DES
AG14,FARO,LAGOA,PORCHES,1996-05-23,15:45:00,1996-05-23,16:20:00,,0,0.01,0.01,DES
AG217,FARO,LAGOA,CARVOEIRO,1996-09-29,17:25:00,1996-09-29,18:00:00,,0,0.03,0.03,DES
AG211,FARO,LAGOA,LAGOA,1996-09-28,11:27:00,1996-09-28,12:10:00,,0,0.01,0.01,DES
AG20,FARO,ALBUFEIRA,ALBUFEIRA,1996-06-05,16:30:00,1996-06-05,16:55:00,,0,0.005,0.005,DES
AG148,FARO,ALBUFEIRA,ALBUFEIRA,1996-08-15,13:27:00,1996-08-15,14:04:00,,0,0.02,0.02,DES
AG129,FARO,ALBUFEIRA,ALBUFEIRA,1996-07-31,23:40:00,1996-08-01,00:50:00,,0,0.1,0.1,DES
AG61,FARO,ALBUFEIRA,PADERNE,1996-06-29,16:06:00,1996-06-29,17:50:00,,0,0.05,0.05,DES
AG206,FARO,ALBUFEIRA,ALBUFEIRA,1996-09-25,21:25:00,1996-09-25,23:32:00,,0,0.05,0.05,DES
AG270,FARO,ALCOUTIM,ALCOUTIM,1996-11-02,14:21:00,1996-11-02,17:00:00,,0,0.5,0.5,DES
AG72,FARO,ALCOUTIM,VAQUEIROS,1996-07-05,09:20:00,1996-07-05,12:55:00,,0.5,2,2.5,DES
AG31,FARO,ALCOUTIM,ALCOUTIM,1996-06-19,13:05:00,1996-06-19,17:05:00,,2.5,8.8,11.3,DES
AG21,FARO,ALCOUTIM,MARTINLONGO,1996-06-12,16:10:00,1996-06-12,20:36:00,,0,4,4,DES
AG280,FARO,ALCOUTIM,ALCOUTIM,1996-11-10,13:00:00,1996-11-10,17:34:00,,0,4,4,DES
AG52,FARO,ALCOUTIM,VAQUEIROS,1996-06-25,13:09:00,1996-06-25,18:39:00,,0,3.5,3.5,DES
AG101,FARO,ALCOUTIM,ALCOUTIM,1996-07-20,14:40:00,1996-07-21,10:10:00,,2,10,12,DES
AG100,FARO,ALCOUTIM,ALCOUTIM,1996-07-19,14:10:00,1996-07-20,13:43:00,,41,510.5,551.5,DES
AG58,FARO,ALJEZUR,ROGIL,1996-06-27,12:05:00,1996-06-27,12:40:00,,0,0.01,0.01,DES
AG199,FARO,ALJEZUR,ROGIL,1996-09-20,18:42:00,1996-09-20,19:45:00,,0,1,1,DES
AG248,FARO,ALJEZUR,ALJEZUR,1996-10-10,15:12:00,1996-10-10,16:45:00,,0,0.01,0.01,DES
AG198,FARO,ALJEZUR,BORDEIRA,1996-09-19,15:55:00,1996-09-19,17:40:00,,0,0.2,0.2,DES
AG219,FARO,ALJEZUR,ALJEZUR,1996-09-29,11:01:00,1996-09-29,12:55:00,,0,0.1,0.1,DES
AG113,FARO,ALJEZUR,ROGIL,1996-07-25,14:17:00,1996-07-25,17:24:00,,0,1.5,1.5,DES
AG10,FARO,ALJEZUR,ODECEIXE,1996-04-25,14:20:00,1996-04-25,18:00:00,,0,1.5,1.5,DES
AG264,FARO,ALJEZUR,BORDEIRA,1996-10-31,18:10:00,1996-10-31,22:20:00,,0,0.08,0.08,DES
AG269,FARO,ALJEZUR,ALJEZUR,1996-11-01,16:20:00,1996-11-01,21:00:00,,0,2,2,DES
AG81,FARO,ALJEZUR,ALJEZUR,1996-07-10,14:44:00,1996-07-10,21:50:00,,0,4.375,4.375,DES
AG239,FARO,C.MARIM,C.MARIM,1996-10-06,13:00:00,1996-10-06,13:20:00,,0,0.01,0.01,DES
AG139,FARO,C.MARIM,C.MARIM,1996-08-07,21:43:00,1996-08-07,22:15:00,,0,0.5,0.5,DES
AG18,FARO,C.MARIM,C.MARIM,1996-06-02,04:15:00,1996-06-02,04:50:00,,0,0.01,0.01,DES
AG245,FARO,C.MARIM,C.MARIM,1996-10-07,11:51:00,1996-10-07,12:28:00,,0,0.25,0.25,DES
AG79,FARO,C.MARIM,C.MARIM,1996-07-09,20:32:00,1996-07-09,21:15:00,,0,1,1,DES
AG169,FARO,C.MARIM,C.MARIM,1996-09-03,16:45:00,1996-09-03,17:30:00,,0,0.002,0.002,DES
AG36,FARO,C.MARIM,C.MARIM,1996-06-20,17:50:00,1996-06-20,18:35:00,,0,0.01,0.01,DES
AG39,FARO,C.MARIM,C.MARIM,1996-06-21,19:41:00,1996-06-21,20:30:00,,0,1,1,DES
AG161,FARO,C.MARIM,C.MARIM,1996-08-25,04:05:00,1996-08-25,04:55:00,,0,0.005,0.005,DES
AG62,FARO,C.MARIM,C.MARIM,1996-07-02,23:47:00,1996-07-03,00:45:00,,0,0.002,0.002,DES
AG82,FARO,C.MARIM,C.MARIM,1996-07-10,19:00:00,1996-07-10,20:00:00,,0.001,0,0.001,DES
AG17,FARO,C.MARIM,C.MARIM,1996-06-02,00:17:00,1996-06-02,01:17:00,,0,0.06,0.06,DES
AG257,FARO,C.MARIM,C.MARIM,1996-10-22,14:14:00,1996-10-22,15:15:00,,0,0.1,0.1,DES
AG202,FARO,C.MARIM,C.MARIM,1996-09-22,02:30:00,1996-09-22,03:35:00,,0,1,1,DES
AG187,FARO,C.MARIM,C.MARIM,1996-09-12,13:42:00,1996-09-12,14:49:00,,0,0.05,0.05,DES
AG255,FARO,C.MARIM,C.MARIM,1996-10-17,00:01:00,1996-10-17,01:10:00,,0,0.02,0.02,DES
AG110,FARO,C.MARIM,C.MARIM,1996-07-20,22:40:00,1996-07-20,23:50:00,,0,0.5,0.5,DES
AG57,FARO,C.MARIM,ODELEITE,1996-06-26,17:48:00,1996-06-26,19:00:00,,0,0.25,0.25,DES
AG286,FARO,C.MARIM,C.MARIM,1996-12-01,16:52:00,1996-12-01,18:15:00,,0,0.05,0.05,DES
AG275,FARO,C.MARIM,C.MARIM,1996-11-07,11:25:00,1996-11-07,13:20:00,,0,1,1,DES
AG285,FARO,C.MARIM,C.MARIM,1996-11-30,20:53:00,1996-11-30,22:50:00,,0,0.005,0.005,DES
AG109,FARO,C.MARIM,C.MARIM,1996-07-20,14:58:00,1996-07-20,17:00:00,,0,1,1,DES
AG98,FARO,C.MARIM,C.MARIM,1996-07-18,13:32:00,1996-07-18,15:45:00,,0,1,1,DES
AG282,FARO,C.MARIM,C.MARIM,1996-11-18,13:24:00,1996-11-18,16:29:00,,0,1,1,DES
AG226,FARO,C.MARIM,C.MARIM,1996-10-02,13:20:00,1996-10-02,16:30:00,,0,4,4,DES
AG283,FARO,C.MARIM,C.MARIM,1996-11-24,15:45:00,1996-11-24,19:00:00,,0,2,2,DES
AG29,FARO,C.MARIM,C.MARIM,1996-06-18,10:40:00,1996-06-18,14:35:00,,0,3,3,DES
AG159,FARO,C.MARIM,ODELEITE,1996-08-23,16:44:00,1996-08-23,21:40:00,,0,4,4,DES
AG83,FARO,FARO,SE,1996-07-10,11:39:00,1996-07-10,12:00:00,,0,0.005,0.005,DES
AG167,FARO,FARO,S.PEDRO,1996-08-31,22:47:00,1996-08-31,23:20:00,,0,0.002,0.002,DES
